v7.0,XT-Ubat- (MIN) [Vdc],XT-Uin [Vac],XT-Iin [Aac],XT-Pout [kVA],XT-Pout+ [kVA],XT-Fout [Hz],XT-Fin [Hz],XT-Phase [],XT-Mode [],XT-Transfert [],XT-RME [],XT-Aux 1 [],XT-Aux 2 [],XT-Ubat [Vdc],XT-Ibat [Adc],XT-Pin a [kW],XT-Pout a [kW],XT-Dev1+ (MAX) [?C],VS-Ppv [kW],,,,VS-Mod1 [],,VS-Dev1 [],VS-Upv [Vdc],,VS-Ubat [Vdc],VS-Ibat [Adc],VS-Phas [],VS-RME [],VS-Aux 1 [],VS-Aux 2 [],BSP-Ubat [Vdc],BSP-Ibat [Adc],BSP-SOC [%],BSP-Tbat [?C],Solar power (ALL) [kW],DEV XT-DBG1 [],DEV VS-locEr [],DEV SYS MSG,DEV SYS SCOM ERR,
,I3090,I3113,I3116,I3098,I3097,I3110,I3122,I3010,I3028,I3020,I3086,I3054,I3055,I3092,I3095,I3119,I3101,I3103,I15061,I15062,I15063,I15061,I15014,I15015,I15065,I15059,I15060,I15054,I15057,I15002,I15111,I15088,I15089,I7030,I7031,I7032,I7033,I17999,I3140,I15109,I17997,I17998,
,L1,L1,L1,L1,L1,L1,L1,L1,L1,L1,L1,L1,L1,L1-1,L1-1,L1-1,L1-1,L1-1,1,1,1,ALL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ALL,1,1,1,1,
30.06.2020 00:00,49.69,2.00,0.00,0.30,0.30,50.00,0.00,1,1,0,1,0,1,49.59,-6.00,-0.02,0.27,38.00,0.00,0.00,0.00,0.00,0,0,17,11.20,11.80,49.66,0.00,0,0,0,0,49.69,-6.90,76.69,14.38,0.00,61440.00,0.00,,0,,
30.06.2020 00:01,49.69,2.00,0.00,0.30,0.30,50.00,0.00,1,1,0,1,0,1,49.69,-6.00,-0.02,0.27,38.00,0.00,0.00,0.00,0.00,0,0,17,11.20,11.80,49.66,0.00,0,0,0,0,49.69,-6.89,76.62,14.36,0.00,61440.00,0.00,,0,,
30.06.2020 00:02,49.25,2.00,0.00,0.35,2.29,50.00,0.00,1,1,0,1,0,1,49.69,-7.00,-0.02,0.32,38.00,0.00,0.00,0.00,0.00,0,0,17,11.20,11.80,49.62,0.00,0,0,0,0,49.66,-7.97,76.62,14.36,0.00,61440.00,0.00,,0,,
30.06.2020 00:03,49.50,2.00,0.00,0.65,0.65,50.00,0.00,1,1,0,1,0,1,49.44,-12.00,-0.02,0.56,38.00,0.00,0.00,0.00,0.00,0,0,17,11.20,11.80,49.44,0.00,0,0,0,0,49.50,-13.35,76.56,14.36,0.00,61440.00,0.00,,0,,
30.06.2020 00:04,49.44,2.00,0.00,0.65,0.65,50.00,0.00,1,1,0,1,0,1,49.44,-12.00,-0.02,0.55,38.00,0.00,0.00,0.00,0.00,0,0,17,11.20,11.80,49.41,0.00,0,0,0,0,49.47,-13.23,76.56,14.36,0.00,61440.00,0.00,,0,,
30.06.2020 00:05,49.44,2.00,0.00,0.65,0.65,50.00,0.00,1,1,0,1,0,1,49.50,-12.00,-0.02,0.55,38.00,0.00,0.00,0.00,0.00,0,0,17,11.20,11.80,49.41,0.00,0,0,0,0,49.47,-13.15,76.50,14.36,0.00,61440.00,0.00,,0,,
30.06.2020 00:06,49.44,2.00,0.00,0.65,0.65,50.00,0.00,1,1,0,1,0,1,49.31,-12.00,-0.02,0.55,38.00,0.00,0.00,0.00,0.00,0,0,17,11.20,11.80,49.41,0.00,0,0,0,0,49.44,-13.10,76.50,14.36,0.00,61440.00,0.00,,0,,
30.06.2020 00:07,49.44,2.00,0.00,0.50,0.65,50.00,0.00,1,1,0,1,0,1,49.44,-10.00,-0.02,0.43,38.00,0.00,0.00,0.00,0.00,0,0,17,11.20,11.80,49.47,0.00,0,0,0,0,49.50,-10.34,76.44,14.35,0.00,61440.00,0.00,,0,,
30.06.2020 00:08,49.59,2.00,0.00,0.30,0.30,50.00,0.00,1,1,0,1,0,1,49.69,-6.00,-0.02,0.27,38.00,0.00,0.00,0.00,0.00,0,0,17,11.20,11.80,49.59,0.00,0,0,0,0,49.62,-6.83,76.44,14.34,0.00,61440.00,0.00,,0,,
30.06.2020 00:09,49.16,2.00,0.00,0.59,2.29,50.00,0.00,1,1,0,1,0,1,49.50,-11.00,-0.02,0.48,38.00,0.00,0.00,0.00,0.00,0,0,17,11.20,11.80,49.47,0.00,0,0,0,0,49.53,-11.89,76.38,14.34,0.00,61440.00,0.00,,0,,
