v7.0,XT-Ubat- (MIN) [Vdc],XT-Uin [Vac],XT-Iin [Aac],XT-Pout [kVA],XT-Pout+ [kVA],XT-Fout [Hz],XT-Fin [Hz],XT-Phase [],XT-Mode [],XT-Transfert [],XT-RME [],XT-Aux 1 [],XT-Aux 2 [],XT-Ubat [Vdc],XT-Ibat [Adc],XT-Pin a [kW],XT-Pout a [kW],XT-Dev1+ (MAX) [?C],VS-Ppv [kW],,,,VS-Mod1 [],,VS-Dev1 [],VS-Upv [Vdc],,VS-Ubat [Vdc],VS-Ibat [Adc],VS-Phas [],VS-RME [],VS-Aux 1 [],VS-Aux 2 [],BSP-Ubat [Vdc],BSP-Ibat [Adc],BSP-SOC [%],BSP-Tbat [?C],Solar power (ALL) [kW],DEV XT-DBG1 [],DEV VS-locEr [],DEV SYS MSG,DEV SYS SCOM ERR,
,I3090,I3113,I3116,I3098,I3097,I3110,I3122,I3010,I3028,I3020,I3086,I3054,I3055,I3092,I3095,I3119,I3101,I3103,I15061,I15062,I15063,I15061,I15014,I15015,I15065,I15059,I15060,I15054,I15057,I15002,I15111,I15088,I15089,I7030,I7031,I7032,I7033,I17999,I3140,I15109,I17997,I17998,
,L1,L1,L1,L1,L1,L1,L1,L1,L1,L1,L1,L1,L1,L1-1,L1-1,L1-1,L1-1,L1-1,1,1,1,ALL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ALL,1,1,1,1,
19.09.2020 00:00,48.75,2.00,0.00,1.01,1.07,50.00,0.00,1,1,0,1,1,1,48.62,-19.00,-0.02,0.82,44.00,0.00,0.00,0.00,0.00,0,0,14,11.11,11.74,48.66,0.00,0,0,0,0,48.69,-19.73,44.50,14.09,0.00,61440.00,0.00,,0,,
19.09.2020 00:01,48.12,2.00,0.00,1.22,3.03,50.00,0.00,1,1,0,1,1,1,48.62,-21.00,-0.02,0.91,44.00,0.00,0.00,0.00,0.00,0,0,14,11.11,11.74,48.56,0.00,0,0,0,0,48.59,-22.09,44.44,14.09,0.00,61440.00,0.00,,0,,
19.09.2020 00:02,48.56,2.00,0.00,1.07,1.25,50.00,0.00,1,1,0,1,1,1,48.56,-18.00,-0.02,0.79,44.00,0.00,0.00,0.00,0.00,0,0,14,11.11,11.74,48.53,0.00,0,0,0,0,48.59,-19.27,44.34,14.09,0.00,61440.00,0.00,,0,,
19.09.2020 00:03,48.38,2.00,0.00,0.97,1.37,50.00,0.00,1,1,0,1,1,1,48.56,-18.00,-0.02,0.78,44.00,0.00,0.00,0.00,0.00,0,0,14,11.11,11.74,48.53,0.00,0,0,0,0,48.56,-19.14,44.31,14.09,0.00,61440.00,0.00,,0,,
19.09.2020 00:04,48.31,2.00,0.00,0.99,1.37,50.00,0.00,1,1,0,1,1,1,48.47,-18.00,-0.02,0.81,44.00,0.00,0.00,0.00,0.00,0,0,14,11.11,11.74,48.47,0.00,0,0,0,0,48.50,-19.69,44.25,14.08,0.00,61440.00,0.00,,0,,
19.09.2020 00:05,48.56,2.00,0.00,0.84,0.95,50.00,0.00,1,1,0,1,1,1,48.56,-15.00,-0.02,0.65,44.00,0.00,0.00,0.00,0.00,0,0,14,11.11,11.74,48.47,0.00,0,0,0,0,48.53,-16.14,44.19,14.08,0.00,61440.00,0.00,,0,,
19.09.2020 00:06,48.47,2.00,0.00,0.83,0.89,50.00,0.00,1,1,0,1,1,1,48.47,-16.00,-0.02,0.66,44.00,0.00,0.00,0.00,0.00,0,0,14,11.11,11.74,48.44,0.00,0,0,0,0,48.50,-16.28,44.12,14.08,0.00,61440.00,0.00,,0,,
19.09.2020 00:07,48.47,2.00,0.00,0.84,0.89,50.00,0.00,1,1,0,1,1,1,48.47,-16.00,-0.02,0.66,44.00,0.00,0.00,0.00,0.00,0,0,14,11.11,11.74,48.41,0.00,0,0,0,0,48.44,-16.30,44.09,14.08,0.00,61440.00,0.00,,0,,
19.09.2020 00:08,48.22,2.00,0.00,0.78,1.25,50.00,0.00,1,1,0,1,1,1,48.38,-16.00,-0.02,0.66,44.00,0.00,0.00,0.00,0.00,0,0,14,11.11,11.74,48.38,0.00,0,0,0,0,48.41,-16.33,44.03,14.08,0.00,61440.00,0.00,,0,,
19.09.2020 00:09,48.12,2.00,0.00,0.73,1.25,50.00,0.00,1,1,0,1,1,1,48.31,-16.00,-0.02,0.65,43.00,0.00,0.00,0.00,0.00,0,0,14,11.11,11.74,48.31,0.00,0,0,0,0,48.38,-15.60,44.00,14.08,0.00,61440.00,0.00,,0,,
19.09.2020 00:10,48.38,2.00,0.00,0.65,0.65,50.00,0.00,1,1,0,1,1,1,48.47,-13.00,-0.02,0.56,43.00,0.00,0.00,0.00,0.00,0,0,14,11.11,11.74,48.34,0.00,0,0,0,0,48.38,-13.86,43.94,14.08,0.00,61440.00,0.00,,0,,
