v7.0,XT-Ubat- (MIN) [Vdc],XT-Uin [Vac],XT-Iin [Aac],XT-Pout [kVA],XT-Pout+ [kVA],XT-Fout [Hz],XT-Fin [Hz],XT-Phase [],XT-Mode [],XT-Transfert [],XT-RME [],XT-Aux 1 [],XT-Aux 2 [],XT-Ubat [Vdc],XT-Ibat [Adc],XT-Pin a [kW],XT-Pout a [kW],XT-Dev1+ (MAX) [?C],VS-Ppv [kW],,,,VS-Mod1 [],,VS-Dev1 [],VS-Upv [Vdc],,VS-Ubat [Vdc],VS-Ibat [Adc],VS-Phas [],VS-RME [],VS-Aux 1 [],VS-Aux 2 [],BSP-Ubat [Vdc],BSP-Ibat [Adc],BSP-SOC [%],BSP-Tbat [?C],Solar power (ALL) [kW],DEV XT-DBG1 [],DEV VS-locEr [],DEV SYS MSG,DEV SYS SCOM ERR,
,I3090,I3113,I3116,I3098,I3097,I3110,I3122,I3010,I3028,I3020,I3086,I3054,I3055,I3092,I3095,I3119,I3101,I3103,I15061,I15062,I15063,I15061,I15014,I15015,I15065,I15059,I15060,I15054,I15057,I15002,I15111,I15088,I15089,I7030,I7031,I7032,I7033,I17999,I3140,I15109,I17997,I17998,
,L1,L1,L1,L1,L1,L1,L1,L1,L1,L1,L1,L1,L1,L1-1,L1-1,L1-1,L1-1,L1-1,1,1,1,ALL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ALL,1,1,1,1,
28.03.2020 00:00,49.00,3.00,0.00,0.42,0.42,50.00,0.00,2,1,0,1,1,1,49.00,-8.00,-0.02,0.35,29.00,0.00,0.00,0.00,0.00,0,0,7,10.96,11.59,48.88,0.00,1,0,0,0,48.88,-8.84,59.38,5.31,0.00,61440.00,0.00,,0,,
28.03.2020 00:01,49.00,3.00,0.00,0.40,0.42,50.00,0.00,2,1,0,1,1,1,49.00,-8.00,-0.02,0.34,29.00,0.00,0.00,0.00,0.00,0,0,7,10.97,11.59,48.91,0.00,1,0,0,0,48.91,-8.52,59.34,5.30,0.00,61440.00,0.00,,0,,
28.03.2020 00:02,48.47,3.00,0.00,0.47,2.24,50.00,0.00,2,1,0,1,1,1,48.81,-10.00,-0.02,0.42,29.00,0.00,0.00,0.00,0.00,0,0,7,10.97,11.59,48.88,0.00,1,0,0,0,48.84,-10.40,59.28,5.30,0.00,61440.00,0.00,,0,,
28.03.2020 00:03,48.81,3.00,0.00,0.59,0.65,50.00,0.00,2,1,0,1,1,1,48.75,-12.00,-0.02,0.53,29.00,0.00,0.00,0.00,0.00,0,0,7,10.97,11.59,48.75,0.00,1,0,0,0,48.75,-12.92,59.22,5.30,0.00,61440.00,0.00,,0,,
28.03.2020 00:04,48.81,3.00,0.00,0.59,0.65,50.00,0.00,2,1,0,1,1,1,48.81,-12.00,-0.02,0.53,29.00,0.00,0.00,0.00,0.00,0,0,7,10.96,11.59,48.75,0.00,1,0,0,0,48.75,-12.86,59.19,5.30,0.00,61440.00,0.00,,0,,
28.03.2020 00:05,48.22,3.00,0.00,0.79,2.91,50.00,0.00,2,1,0,1,1,1,48.62,-15.00,-0.02,0.65,29.00,0.00,0.00,0.00,0.00,0,0,7,10.96,11.59,48.69,0.00,1,0,0,0,48.66,-15.80,59.12,5.30,0.00,61440.00,0.00,,0,,
28.03.2020 00:06,48.62,3.00,0.00,0.96,1.01,50.00,0.00,2,1,0,1,1,1,48.62,-17.00,-0.02,0.75,30.00,0.00,0.00,0.00,0.00,0,0,7,10.96,11.59,48.59,0.00,1,0,0,0,48.59,-18.17,59.06,5.30,0.00,61440.00,0.00,,0,,
28.03.2020 00:07,48.62,3.00,0.00,0.62,0.95,50.00,0.00,2,1,0,1,1,1,48.75,-12.00,-0.02,0.50,30.00,0.00,0.00,0.00,0.00,0,0,7,10.97,11.59,48.72,0.00,1,0,0,0,48.72,-12.30,58.97,5.30,0.00,61440.00,0.00,,0,,
28.03.2020 00:08,48.81,3.00,0.00,0.57,0.59,50.00,0.00,2,1,0,1,1,1,48.75,-11.00,-0.02,0.47,30.00,0.00,0.00,0.00,0.00,0,0,7,10.96,11.59,48.75,0.00,1,0,0,0,48.75,-11.69,58.91,5.30,0.00,61440.00,0.00,,0,,
28.03.2020 00:09,48.81,3.00,0.00,0.55,0.59,50.00,0.00,2,1,0,1,1,1,48.81,-11.00,-0.02,0.47,30.00,0.00,0.00,0.00,0.00,0,0,6,10.96,11.59,48.75,0.00,1,0,0,0,48.75,-11.58,58.84,5.30,0.00,61440.00,0.00,,0,,
