v7.0,XT-Ubat- (MIN) [Vdc],XT-Uin [Vac],XT-Iin [Aac],XT-Pout [kVA],XT-Pout+ [kVA],XT-Fout [Hz],XT-Fin [Hz],XT-Phase [],XT-Mode [],XT-Transfert [],XT-RME [],XT-Aux 1 [],XT-Aux 2 [],XT-Ubat [Vdc],XT-Ibat [Adc],XT-Pin a [kW],XT-Pout a [kW],XT-Dev1+ (MAX) [?C],VS-Ppv [kW],,,,VS-Mod1 [],,VS-Dev1 [],VS-Upv [Vdc],,VS-Ubat [Vdc],VS-Ibat [Adc],VS-Phas [],VS-RME [],VS-Aux 1 [],VS-Aux 2 [],BSP-Ubat [Vdc],BSP-Ibat [Adc],BSP-SOC [%],BSP-Tbat [?C],Solar power (ALL) [kW],DEV XT-DBG1 [],DEV VS-locEr [],DEV SYS MSG,DEV SYS SCOM ERR,
,I3090,I3113,I3116,I3098,I3097,I3110,I3122,I3010,I3028,I3020,I3086,I3054,I3055,I3092,I3095,I3119,I3101,I3103,I15061,I15062,I15063,I15061,I15014,I15015,I15065,I15059,I15060,I15054,I15057,I15002,I15111,I15088,I15089,I7030,I7031,I7032,I7033,I17999,I3140,I15109,I17997,I17998,
,L1,L1,L1,L1,L1,L1,L1,L1,L1,L1,L1,L1,L1,L1-1,L1-1,L1-1,L1-1,L1-1,1,1,1,ALL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ALL,1,1,1,1,
18.03.2020 00:00,49.25,3.00,0.00,0.54,0.59,50.00,0.00,1,1,0,1,0,1,49.16,-12.00,-0.02,0.51,32.00,0.00,0.00,0.00,0.00,0,0,8,11.00,11.63,49.16,0.00,0,0,0,0,49.19,-12.32,74.75,7.27,0.00,61440.00,0.00,,0,,
18.03.2020 00:01,49.16,3.00,0.00,0.55,0.59,50.00,0.00,1,1,0,1,0,1,49.16,-12.00,-0.02,0.52,32.00,0.00,0.00,0.00,0.00,0,0,8,11.00,11.63,49.16,0.00,0,0,0,0,49.16,-12.40,74.69,7.27,0.00,61440.00,0.00,,0,,
18.03.2020 00:02,48.81,3.00,0.00,0.58,2.30,50.00,0.00,1,1,0,1,0,1,49.25,-13.00,-0.02,0.54,31.00,0.00,0.00,0.00,0.00,0,0,8,11.00,11.63,49.16,0.00,0,0,0,0,49.16,-12.86,74.62,7.26,0.00,61440.00,0.00,,0,,
18.03.2020 00:03,49.16,3.00,0.00,0.63,0.77,50.00,0.00,1,1,0,1,0,1,49.16,-12.00,-0.02,0.52,31.00,0.00,0.00,0.00,0.00,0,0,8,11.00,11.63,49.16,0.00,0,0,0,0,49.16,-12.70,74.50,7.25,0.00,61440.00,0.00,,0,,
18.03.2020 00:04,49.16,3.00,0.00,0.60,0.65,50.00,0.00,1,1,0,1,0,1,49.06,-11.00,-0.02,0.50,31.00,0.00,0.00,0.00,0.00,0,0,8,11.00,11.63,49.16,0.00,0,0,0,0,49.16,-12.31,74.44,7.25,0.00,61440.00,0.00,,0,,
18.03.2020 00:05,49.16,3.00,0.00,0.59,0.65,50.00,0.00,1,1,0,1,0,1,49.06,-11.00,-0.02,0.50,31.00,0.00,0.00,0.00,0.00,0,0,8,11.00,11.63,49.16,0.00,0,0,0,0,49.16,-12.22,74.38,7.25,0.00,61440.00,0.00,,0,,
18.03.2020 00:06,49.16,3.00,0.00,0.59,0.65,50.00,0.00,1,1,0,1,0,1,49.16,-11.00,-0.02,0.50,31.00,0.00,0.00,0.00,0.00,0,0,8,11.00,11.63,49.16,0.00,0,0,0,0,49.16,-12.16,74.31,7.25,0.00,61440.00,0.00,,0,,
18.03.2020 00:07,48.75,3.00,0.00,0.78,2.58,50.00,0.00,1,1,0,1,0,1,49.06,-14.00,-0.02,0.61,31.00,0.00,0.00,0.00,0.00,0,0,8,11.00,11.62,49.09,0.00,0,0,0,0,49.09,-14.91,74.25,7.25,0.00,61440.00,0.00,,0,,
18.03.2020 00:08,49.00,3.00,0.00,0.97,1.01,50.00,0.00,1,1,0,1,0,1,49.00,-17.00,-0.02,0.75,32.00,0.00,0.00,0.00,0.00,0,0,8,11.00,11.62,49.00,0.00,0,0,0,0,49.00,-17.98,74.19,7.25,0.00,61440.00,0.00,,0,,
18.03.2020 00:09,49.00,3.00,0.00,0.95,1.01,50.00,0.00,1,1,0,1,0,1,49.06,-16.00,-0.02,0.72,32.00,0.00,0.00,0.00,0.00,0,0,8,11.00,11.62,49.00,0.00,0,0,0,0,49.00,-17.50,74.12,7.25,0.00,61440.00,0.00,,0,,
18.03.2020 00:10,49.00,3.00,0.00,0.95,1.01,50.00,0.00,1,1,0,1,0,1,49.00,-16.00,-0.02,0.71,32.00,0.00,0.00,0.00,0.00,0,0,8,11.00,11.62,49.00,0.00,0,0,0,0,49.00,-17.28,74.06,7.24,0.00,61440.00,0.00,,0,,
18.03.2020 00:11,49.06,3.00,0.00,0.64,0.95,50.00,0.00,1,1,0,1,0,1,49.16,-11.00,-0.02,0.50,32.00,0.00,0.00,0.00,0.00,0,0,8,11.00,11.63,49.09,0.00,0,0,0,0,49.09,-12.30,73.94,7.23,0.00,61440.00,0.00,,0,,
18.03.2020 00:12,49.16,3.00,0.00,0.55,0.59,50.00,0.00,1,1,0,1,0,1,49.25,-10.00,-0.02,0.45,32.00,0.00,0.00,0.00,0.00,0,0,8,11.00,11.63,49.16,0.00,0,0,0,0,49.16,-11.09,73.88,7.23,0.00,61440.00,0.00,,0,,
18.03.2020 00:13,49.16,3.00,0.00,0.55,0.59,50.00,0.00,1,1,0,1,0,1,49.16,-10.00,-0.02,0.45,32.00,0.00,0.00,0.00,0.00,0,0,8,11.00,11.63,49.16,0.00,0,0,0,0,49.16,-11.10,73.81,7.23,0.00,61440.00,0.00,,0,,
18.03.2020 00:14,49.16,3.00,0.00,0.55,0.59,50.00,0.00,1,1,0,1,0,1,49.16,-10.00,-0.02,0.44,32.00,0.00,0.00,0.00,0.00,0,0,8,11.00,11.63,49.16,0.00,0,0,0,0,49.16,-11.09,73.75,7.23,0.00,61440.00,0.00,,0,,
18.03.2020 00:15,49.16,3.00,0.00,0.58,0.59,50.00,0.00,1,1,0,1,0,1,49.16,-10.00,-0.02,0.46,31.00,0.00,0.00,0.00,0.00,0,0,8,11.00,11.63,49.16,0.00,0,0,0,0,49.16,-11.46,73.69,7.23,0.00,61440.00,0.00,,0,,
18.03.2020 00:16,49.16,3.00,0.00,0.56,0.59,50.00,0.00,1,1,0,1,0,1,49.06,-10.00,-0.02,0.45,31.00,0.00,0.00,0.00,0.00,0,0,8,11.00,11.63,49.16,0.00,0,0,0,0,49.16,-11.27,73.62,7.23,0.00,61440.00,0.00,,0,,
18.03.2020 00:17,49.16,3.00,0.00,0.59,0.59,50.00,0.00,1,1,0,1,0,1,49.06,-10.00,-0.02,0.46,31.00,0.00,0.00,0.00,0.00,0,0,8,11.00,11.63,49.16,0.00,0,0,0,0,49.16,-11.34,73.56,7.23,0.00,61440.00,0.00,,0,,
18.03.2020 00:18,49.16,3.00,0.00,0.59,0.59,50.00,0.00,1,1,0,1,0,1,49.16,-10.00,-0.02,0.46,31.00,0.00,0.00,0.00,0.00,0,0,8,11.00,11.63,49.16,0.00,0,0,0,0,49.16,-11.34,73.44,7.23,0.00,61440.00,0.00,,0,,
18.03.2020 00:19,48.62,3.00,0.00,0.85,2.70,50.00,0.00,1,1,0,1,0,1,49.00,-14.00,-0.02,0.63,31.00,0.00,0.00,0.00,0.00,0,0,8,11.00,11.63,49.06,0.00,0,0,0,0,49.06,-15.50,73.38,7.23,0.00,61440.00,0.00,,0,,
18.03.2020 00:20,49.00,3.00,0.00,0.98,1.07,50.00,0.00,1,1,0,1,0,1,49.00,-16.00,-0.02,0.73,32.00,0.00,0.00,0.00,0.00,0,0,8,11.00,11.63,48.97,0.00,0,0,0,0,48.97,-17.80,73.31,7.23,0.00,61440.00,0.00,,0,,
18.03.2020 00:21,47.53,3.00,0.00,1.22,6.39,50.00,0.00,1,1,0,1,0,1,48.81,-22.00,-0.02,0.96,32.00,0.00,0.00,0.00,0.00,0,0,8,11.00,11.63,48.88,0.00,0,0,0,0,48.84,-24.58,73.25,7.23,0.00,61440.00,0.00,,0,,
18.03.2020 00:22,48.38,3.00,0.00,1.10,2.38,50.00,0.00,1,1,0,1,0,1,48.91,-19.00,-0.02,0.83,33.00,0.00,0.00,0.00,0.00,0,0,8,11.00,11.63,48.88,0.00,0,0,0,0,48.88,-19.52,73.12,7.23,0.00,61440.00,0.00,,0,,
18.03.2020 00:23,49.00,3.00,0.00,0.95,0.95,50.00,0.00,1,1,0,1,0,1,48.91,-15.00,-0.02,0.67,33.00,0.00,0.00,0.00,0.00,0,0,8,11.00,11.63,48.97,0.00,0,0,0,0,48.97,-16.48,73.06,7.22,0.00,61440.00,0.00,,0,,
18.03.2020 00:24,49.00,3.00,0.00,0.96,1.13,50.00,0.00,1,1,0,1,0,1,49.00,-16.00,-0.02,0.69,33.00,0.00,0.00,0.00,0.00,0,0,8,11.00,11.62,48.97,0.00,0,0,0,0,48.97,-16.89,73.00,7.22,0.00,61440.00,0.00,,0,,
18.03.2020 00:25,49.00,3.00,0.00,0.96,1.01,50.00,0.00,1,1,0,1,0,1,48.91,-16.00,-0.02,0.69,33.00,0.00,0.00,0.00,0.00,0,0,8,11.00,11.62,48.94,0.00,0,0,0,0,48.97,-17.03,72.94,7.22,0.00,61440.00,0.00,,0,,
18.03.2020 00:26,49.00,3.00,0.00,0.96,1.01,50.00,0.00,1,1,0,1,0,1,48.91,-16.00,-0.02,0.69,33.00,0.00,0.00,0.00,0.00,0,0,8,11.00,11.62,48.94,0.00,0,0,0,0,48.94,-17.00,72.81,7.22,0.00,61440.00,0.00,,0,,
