v7.0,XT-Ubat- (MIN) [Vdc],XT-Uin [Vac],XT-Iin [Aac],XT-Pout [kVA],XT-Pout+ [kVA],XT-Fout [Hz],XT-Fin [Hz],XT-Phase [],XT-Mode [],XT-Transfert [],XT-RME [],XT-Aux 1 [],XT-Aux 2 [],XT-Ubat [Vdc],XT-Ibat [Adc],XT-Pin a [kW],XT-Pout a [kW],XT-Dev1+ (MAX) [?C],VS-Ppv [kW],,,,VS-Mod1 [],,VS-Dev1 [],VS-Upv [Vdc],,VS-Ubat [Vdc],VS-Ibat [Adc],VS-Phas [],VS-RME [],VS-Aux 1 [],VS-Aux 2 [],BSP-Ubat [Vdc],BSP-Ibat [Adc],BSP-SOC [%],BSP-Tbat [?C],Solar power (ALL) [kW],DEV XT-DBG1 [],DEV VS-locEr [],DEV SYS MSG,DEV SYS SCOM ERR,
,I3090,I3113,I3116,I3098,I3097,I3110,I3122,I3010,I3028,I3020,I3086,I3054,I3055,I3092,I3095,I3119,I3101,I3103,I15061,I15062,I15063,I15061,I15014,I15015,I15065,I15059,I15060,I15054,I15057,I15002,I15111,I15088,I15089,I7030,I7031,I7032,I7033,I17999,I3140,I15109,I17997,I17998,
,L1,L1,L1,L1,L1,L1,L1,L1,L1,L1,L1,L1,L1,L1-1,L1-1,L1-1,L1-1,L1-1,1,1,1,ALL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ALL,1,1,1,1,
12.04.2020 00:00,49.31,3.00,0.00,0.65,0.65,50.00,0.00,1,1,0,1,0,1,49.31,-13.00,-0.02,0.57,26.00,0.00,0.00,0.00,0.00,0,0,6,10.95,11.56,49.31,0.00,0,0,0,0,49.31,-13.62,79.88,5.00,0.00,61440.00,0.00,,0,,
12.04.2020 00:01,49.31,3.00,0.00,0.42,0.65,50.00,0.00,1,1,0,1,0,1,49.31,-9.00,-0.02,0.38,26.00,0.00,0.00,0.00,0.00,0,0,6,10.95,11.56,49.41,0.00,0,0,0,0,49.41,-9.42,79.81,5.00,0.00,61440.00,0.00,,0,,
12.04.2020 00:02,49.50,3.00,0.00,0.34,0.36,50.00,0.00,1,1,0,1,0,1,49.44,-7.00,-0.02,0.31,26.00,0.00,0.00,0.00,0.00,0,0,6,10.95,11.57,49.50,0.00,0,0,0,0,49.50,-7.85,79.75,5.00,0.00,61440.00,0.00,,0,,
12.04.2020 00:03,49.50,3.00,0.00,0.34,0.36,50.00,0.00,1,1,0,1,0,1,49.50,-7.00,-0.02,0.32,26.00,0.00,0.00,0.00,0.00,0,0,6,10.95,11.57,49.50,0.00,0,0,0,0,49.50,-7.89,79.69,5.00,0.00,61440.00,0.00,,0,,
12.04.2020 00:04,49.59,3.00,0.00,0.30,0.36,50.00,0.00,1,1,0,1,0,1,49.50,-7.00,-0.02,0.28,26.00,0.00,0.00,0.00,0.00,0,0,6,10.95,11.57,49.53,0.00,0,0,0,0,49.53,-7.11,79.62,5.00,0.00,61440.00,0.00,,0,,
12.04.2020 00:05,49.59,3.00,0.00,0.30,0.30,50.00,0.00,1,1,0,1,0,1,49.59,-6.00,-0.02,0.26,26.00,0.00,0.00,0.00,0.00,0,0,6,10.95,11.57,49.56,0.00,0,0,0,0,49.56,-6.80,79.62,5.00,0.00,61440.00,0.00,,0,,
12.04.2020 00:06,49.16,3.00,0.00,0.35,1.95,50.00,0.00,1,1,0,1,0,1,49.44,-7.00,-0.02,0.31,25.00,0.00,0.00,0.00,0.00,0,0,6,10.95,11.57,49.53,0.00,0,0,0,0,49.53,-7.67,79.56,5.00,0.00,61440.00,0.00,,0,,
12.04.2020 00:07,49.50,3.00,0.00,0.33,0.42,50.00,0.00,1,1,0,1,0,1,49.44,-7.00,-0.02,0.30,25.00,0.00,0.00,0.00,0.00,0,0,6,10.95,11.57,49.53,0.00,0,0,0,0,49.50,-7.69,79.56,5.00,0.00,61440.00,0.00,,0,,
12.04.2020 00:08,49.59,3.00,0.00,0.30,0.36,50.00,0.00,1,1,0,1,0,1,49.59,-6.00,-0.02,0.27,25.00,0.00,0.00,0.00,0.00,0,0,6,10.95,11.57,49.53,0.00,0,0,0,0,49.53,-6.98,79.50,5.00,0.00,61440.00,0.00,,0,,
12.04.2020 00:09,49.59,3.00,0.00,0.30,0.36,50.00,0.00,1,1,0,1,0,1,49.59,-6.00,-0.02,0.26,25.00,0.00,0.00,0.00,0.00,0,0,6,10.95,11.57,49.56,0.00,0,0,0,0,49.53,-6.89,79.44,5.00,0.00,61440.00,0.00,,0,,
12.04.2020 00:10,49.59,3.00,0.00,0.30,0.36,50.00,0.00,1,1,0,1,0,1,49.50,-6.00,-0.02,0.26,25.00,0.00,0.00,0.00,0.00,0,0,6,10.95,11.57,49.56,0.00,0,0,0,0,49.53,-6.83,79.44,5.00,0.00,61440.00,0.00,,0,,
12.04.2020 00:11,49.50,3.00,0.00,0.31,0.59,50.00,0.00,1,1,0,1,0,1,49.50,-6.00,-0.02,0.27,25.00,0.00,0.00,0.00,0.00,0,0,6,10.95,11.57,49.56,0.00,0,0,0,0,49.53,-6.98,79.38,5.00,0.00,61440.00,0.00,,0,,
12.04.2020 00:12,49.59,3.00,0.00,0.35,0.36,50.00,0.00,1,1,0,1,0,1,49.59,-6.00,-0.02,0.27,25.00,0.00,0.00,0.00,0.00,0,0,6,10.95,11.57,49.53,0.00,0,0,0,0,49.53,-7.14,79.38,4.98,0.00,61440.00,0.00,,0,,
12.04.2020 00:13,49.59,3.00,0.00,0.35,0.36,50.00,0.00,1,1,0,1,0,1,49.50,-6.00,-0.02,0.27,25.00,0.00,0.00,0.00,0.00,0,0,6,10.95,11.57,49.53,0.00,0,0,0,0,49.53,-7.11,79.31,4.98,0.00,61440.00,0.00,,0,,
12.04.2020 00:14,49.59,3.00,0.00,0.34,0.36,50.00,0.00,1,1,0,1,0,1,49.59,-6.00,-0.02,0.27,25.00,0.00,0.00,0.00,0.00,0,0,6,10.95,11.56,49.53,0.00,0,0,0,0,49.53,-7.08,79.31,4.98,0.00,61440.00,0.00,,0,,
12.04.2020 00:15,49.59,3.00,0.00,0.33,0.36,50.00,0.00,1,1,0,1,0,1,49.50,-6.00,-0.02,0.27,25.00,0.00,0.00,0.00,0.00,0,0,6,10.95,11.56,49.53,0.00,0,0,0,0,49.53,-7.07,79.25,4.98,0.00,61440.00,0.00,,0,,
12.04.2020 00:16,49.59,3.00,0.00,0.33,0.36,50.00,0.00,1,1,0,1,0,1,49.59,-6.00,-0.02,0.27,25.00,0.00,0.00,0.00,0.00,0,0,6,10.95,11.56,49.53,0.00,0,0,0,0,49.53,-7.05,79.25,4.98,0.00,61440.00,0.00,,0,,
12.04.2020 00:17,49.59,3.00,0.00,0.32,0.36,50.00,0.00,1,1,0,1,0,1,49.50,-6.00,-0.02,0.27,25.00,0.00,0.00,0.00,0.00,0,0,6,10.95,11.56,49.53,0.00,0,0,0,0,49.53,-7.02,79.19,4.98,0.00,61440.00,0.00,,0,,
12.04.2020 00:18,49.59,3.00,0.00,0.32,0.36,50.00,0.00,1,1,0,1,0,1,49.59,-6.00,-0.02,0.27,25.00,0.00,0.00,0.00,0.00,0,0,6,10.95,11.56,49.53,0.00,0,0,0,0,49.53,-7.00,79.12,4.97,0.00,61440.00,0.00,,0,,
12.04.2020 00:19,49.59,3.00,0.00,0.32,0.36,50.00,0.00,1,1,0,1,0,1,49.50,-6.00,-0.02,0.27,25.00,0.00,0.00,0.00,0.00,0,0,6,10.95,11.56,49.53,0.00,0,0,0,0,49.53,-7.00,79.12,4.97,0.00,61440.00,0.00,,0,,
12.04.2020 00:20,49.50,3.00,0.00,0.32,0.36,50.00,0.00,1,1,0,1,0,1,49.50,-6.00,-0.02,0.27,25.00,0.00,0.00,0.00,0.00,0,0,6,10.95,11.56,49.53,0.00,0,0,0,0,49.53,-6.99,79.06,4.96,0.00,61440.00,0.00,,0,,
12.04.2020 00:21,49.06,3.00,0.00,0.65,2.29,50.00,0.00,1,1,0,1,0,1,49.44,-11.00,-0.02,0.50,25.00,0.00,0.00,0.00,0.00,0,0,6,10.95,11.56,49.38,0.00,0,0,0,0,49.34,-12.47,79.06,4.95,0.00,61440.00,0.00,,0,,
12.04.2020 00:22,49.31,3.00,0.00,0.67,0.71,50.00,0.00,1,1,0,1,0,1,49.25,-12.00,-0.02,0.52,25.00,0.00,0.00,0.00,0.00,0,0,6,10.95,11.56,49.28,0.00,0,0,0,0,49.28,-12.84,79.00,4.95,0.00,61440.00,0.00,,0,,
12.04.2020 00:23,49.31,3.00,0.00,0.65,0.71,50.00,0.00,1,1,0,1,0,1,49.25,-11.00,-0.02,0.51,25.00,0.00,0.00,0.00,0.00,0,0,6,10.95,11.56,49.28,0.00,0,0,0,0,49.28,-12.65,78.94,4.95,0.00,61440.00,0.00,,0,,
12.04.2020 00:24,49.31,3.00,0.00,0.65,0.71,50.00,0.00,1,1,0,1,0,1,49.31,-11.00,-0.02,0.50,25.00,0.00,0.00,0.00,0.00,0,0,6,10.95,11.56,49.28,0.00,0,0,0,0,49.28,-12.48,78.88,4.95,0.00,61440.00,0.00,,0,,
12.04.2020 00:25,49.31,3.00,0.00,0.47,0.65,50.00,0.00,1,1,0,1,0,1,49.44,-9.00,-0.02,0.36,26.00,0.00,0.00,0.00,0.00,0,0,6,10.95,11.56,49.38,0.00,0,0,0,0,49.38,-9.02,78.75,4.94,0.00,61440.00,0.00,,0,,
12.04.2020 00:26,49.50,3.00,0.00,0.30,0.30,50.00,0.00,1,1,0,1,0,1,49.44,-6.00,-0.02,0.23,26.00,0.00,0.00,0.00,0.00,0,0,6,10.95,11.56,49.50,0.00,0,0,0,0,49.50,-6.22,78.75,4.94,0.00,61440.00,0.00,,0,,
12.04.2020 00:27,49.59,3.00,0.00,0.30,0.30,50.00,0.00,1,1,0,1,0,1,49.59,-6.00,-0.02,0.23,25.00,0.00,0.00,0.00,0.00,0,0,6,10.95,11.56,49.53,0.00,0,0,0,0,49.53,-6.20,78.69,4.94,0.00,61440.00,0.00,,0,,
12.04.2020 00:28,49.59,3.00,0.00,0.30,0.30,50.00,0.00,1,1,0,1,0,1,49.50,-6.00,-0.02,0.23,25.00,0.00,0.00,0.00,0.00,0,0,6,10.95,11.56,49.53,0.00,0,0,0,0,49.53,-6.19,78.62,4.94,0.00,61440.00,0.00,,0,,
12.04.2020 00:29,49.59,3.00,0.00,0.30,0.30,50.00,0.00,1,1,0,1,0,1,49.50,-6.00,-0.02,0.23,25.00,0.00,0.00,0.00,0.00,0,0,6,10.95,11.56,49.53,0.00,0,0,0,0,49.53,-6.18,78.62,4.93,0.00,61440.00,0.00,,0,,
12.04.2020 00:30,49.59,3.00,0.00,0.30,0.30,50.00,0.00,1,1,0,1,0,1,49.59,-5.00,-0.02,0.23,25.00,0.00,0.00,0.00,0.00,0,0,6,10.95,11.56,49.53,0.00,0,0,0,0,49.53,-6.16,78.56,4.92,0.00,61440.00,0.00,,0,,
12.04.2020 00:31,49.59,3.00,0.00,0.30,0.30,50.00,0.00,1,1,0,1,0,1,49.50,-5.00,-0.02,0.23,25.00,0.00,0.00,0.00,0.00,0,0,6,10.95,11.56,49.53,0.00,0,0,0,0,49.53,-6.15,78.56,4.92,0.00,61440.00,0.00,,0,,
12.04.2020 00:32,49.59,3.00,0.00,0.30,0.30,50.00,0.00,1,1,0,1,0,1,49.50,-5.00,-0.02,0.23,25.00,0.00,0.00,0.00,0.00,0,0,6,10.95,11.56,49.53,0.00,0,0,0,0,49.53,-6.14,78.50,4.92,0.00,61440.00,0.00,,0,,
12.04.2020 00:33,49.59,3.00,0.00,0.30,0.30,50.00,0.00,1,1,0,1,0,1,49.59,-6.00,-0.02,0.23,25.00,0.00,0.00,0.00,0.00,0,0,6,10.95,11.56,49.53,0.00,0,0,0,0,49.53,-6.17,78.50,4.91,0.00,61440.00,0.00,,0,,
12.04.2020 00:34,49.59,3.00,0.00,0.30,0.30,50.00,0.00,1,1,0,1,0,1,49.59,-5.00,-0.02,0.23,25.00,0.00,0.00,0.00,0.00,0,0,6,10.95,11.56,49.53,0.00,0,0,0,0,49.53,-6.16,78.44,4.91,0.00,61440.00,0.00,,0,,
12.04.2020 00:35,49.59,3.00,0.00,0.30,0.30,50.00,0.00,1,1,0,1,0,1,49.50,-5.00,-0.02,0.23,24.00,0.00,0.00,0.00,0.00,0,0,6,10.95,11.56,49.53,0.00,0,0,0,0,49.53,-6.13,78.38,4.91,0.00,61440.00,0.00,,0,,
