v7.0,XT-Ubat- (MIN) [Vdc],XT-Uin [Vac],XT-Iin [Aac],XT-Pout [kVA],XT-Pout+ [kVA],XT-Fout [Hz],XT-Fin [Hz],XT-Phase [],XT-Mode [],XT-Transfert [],XT-RME [],XT-Aux 1 [],XT-Aux 2 [],XT-Ubat [Vdc],XT-Ibat [Adc],XT-Pin a [kW],XT-Pout a [kW],XT-Dev1+ (MAX) [?C],VS-Ppv [kW],,,,VS-Mod1 [],,VS-Dev1 [],VS-Upv [Vdc],,VS-Ubat [Vdc],VS-Ibat [Adc],VS-Phas [],VS-RME [],VS-Aux 1 [],VS-Aux 2 [],BSP-Ubat [Vdc],BSP-Ibat [Adc],BSP-SOC [%],BSP-Tbat [?C],Solar power (ALL) [kW],DEV XT-DBG1 [],DEV VS-locEr [],DEV SYS MSG,DEV SYS SCOM ERR,
,I3090,I3113,I3116,I3098,I3097,I3110,I3122,I3010,I3028,I3020,I3086,I3054,I3055,I3092,I3095,I3119,I3101,I3103,I15061,I15062,I15063,I15061,I15014,I15015,I15065,I15059,I15060,I15054,I15057,I15002,I15111,I15088,I15089,I7030,I7031,I7032,I7033,I17999,I3140,I15109,I17997,I17998,
,L1,L1,L1,L1,L1,L1,L1,L1,L1,L1,L1,L1,L1,L1-1,L1-1,L1-1,L1-1,L1-1,1,1,1,ALL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ALL,1,1,1,1,
08.04.2020 00:00,49.31,3.00,0.00,0.42,0.83,50.00,0.00,1,1,0,1,0,1,49.50,-9.00,-0.02,0.37,24.00,0.00,0.00,0.00,0.00,0,0,5,11.71,12.58,49.56,0.00,0,0,0,0,49.56,-9.48,80.62,4.64,0.00,61440.00,0.00,,0,,
08.04.2020 00:01,49.31,3.00,0.00,0.33,0.89,50.00,0.00,1,1,0,1,0,1,49.50,-7.00,-0.02,0.28,25.00,0.00,0.00,0.00,0.00,0,0,5,11.71,12.58,49.56,0.00,0,0,0,0,49.56,-6.99,80.56,4.64,0.00,61440.00,0.00,,0,,
08.04.2020 00:02,49.59,3.00,0.00,0.30,0.30,50.00,0.00,1,1,0,1,0,1,49.59,-6.00,-0.02,0.25,24.00,0.00,0.00,0.00,0.00,0,0,5,11.71,12.58,49.59,0.00,0,0,0,0,49.59,-6.46,80.56,4.63,0.00,61440.00,0.00,,0,,
08.04.2020 00:03,48.81,3.00,0.00,0.57,2.84,50.00,0.00,1,1,0,1,0,1,49.44,-11.00,-0.02,0.49,24.00,0.00,0.00,0.00,0.00,0,0,5,11.71,12.58,49.47,0.00,0,0,0,0,49.47,-11.99,80.50,4.62,0.00,61440.00,0.00,,0,,
08.04.2020 00:04,49.44,3.00,0.00,0.65,0.65,50.00,0.00,1,1,0,1,0,1,49.44,-11.00,-0.02,0.50,25.00,0.00,0.00,0.00,0.00,0,0,5,11.71,12.58,49.38,0.00,0,0,0,0,49.38,-12.25,80.44,4.62,0.00,61440.00,0.00,,0,,
08.04.2020 00:05,49.44,3.00,0.00,0.65,0.65,50.00,0.00,1,1,0,1,0,1,49.31,-11.00,-0.02,0.49,25.00,0.00,0.00,0.00,0.00,0,0,5,11.71,12.58,49.38,0.00,0,0,0,0,49.38,-12.09,80.38,4.62,0.00,61440.00,0.00,,0,,
08.04.2020 00:06,49.44,3.00,0.00,0.65,0.65,50.00,0.00,1,1,0,1,0,1,49.44,-11.00,-0.02,0.49,25.00,0.00,0.00,0.00,0.00,0,0,5,11.70,12.57,49.38,0.00,0,0,0,0,49.34,-12.09,80.31,4.62,0.00,61440.00,0.00,,0,,
08.04.2020 00:07,49.06,3.00,0.00,0.80,1.19,50.00,0.00,1,1,0,1,0,1,49.16,-15.00,-0.02,0.65,25.00,0.00,0.00,0.00,0.00,0,0,5,11.70,12.57,49.25,0.00,0,0,0,0,49.25,-15.63,80.25,4.61,0.00,61440.00,0.00,,0,,
08.04.2020 00:08,49.31,3.00,0.00,0.58,0.65,50.00,0.00,1,1,0,1,0,1,49.44,-10.00,-0.02,0.43,26.00,0.00,0.00,0.00,0.00,0,0,5,11.70,12.57,49.38,0.00,0,0,0,0,49.38,-10.74,80.19,4.61,0.00,61440.00,0.00,,0,,
08.04.2020 00:09,49.25,3.00,0.00,0.43,0.83,50.00,0.00,1,1,0,1,0,1,49.44,-9.00,-0.02,0.38,26.00,0.00,0.00,0.00,0.00,0,0,5,11.70,12.57,49.44,0.00,0,0,0,0,49.44,-9.23,80.12,4.61,0.00,61440.00,0.00,,0,,
08.04.2020 00:10,49.16,3.00,0.00,0.36,1.95,50.00,0.00,1,1,0,1,0,1,49.50,-7.00,-0.02,0.28,25.00,0.00,0.00,0.00,0.00,0,0,5,11.70,12.57,49.53,0.00,0,0,0,0,49.53,-7.27,80.06,4.61,0.00,61440.00,0.00,,0,,
08.04.2020 00:11,49.59,3.00,0.00,0.36,0.42,50.00,0.00,1,1,0,1,0,1,49.59,-7.00,-0.02,0.28,25.00,0.00,0.00,0.00,0.00,0,0,5,11.70,12.57,49.53,0.00,0,0,0,0,49.53,-7.48,80.06,4.61,0.00,61440.00,0.00,,0,,
