v7.0,XT-Ubat- (MIN) [Vdc],XT-Uin [Vac],XT-Iin [Aac],XT-Pout [kVA],XT-Pout+ [kVA],XT-Fout [Hz],XT-Fin [Hz],XT-Phase [],XT-Mode [],XT-Transfert [],XT-RME [],XT-Aux 1 [],XT-Aux 2 [],XT-Ubat [Vdc],XT-Ibat [Adc],XT-Pin a [kW],XT-Pout a [kW],XT-Dev1+ (MAX) [?C],VS-Ppv [kW],,,,VS-Mod1 [],,VS-Dev1 [],VS-Upv [Vdc],,VS-Ubat [Vdc],VS-Ibat [Adc],VS-Phas [],VS-RME [],VS-Aux 1 [],VS-Aux 2 [],BSP-Ubat [Vdc],BSP-Ibat [Adc],BSP-SOC [%],BSP-Tbat [?C],Solar power (ALL) [kW],DEV XT-DBG1 [],DEV VS-locEr [],DEV SYS MSG,DEV SYS SCOM ERR,
,I3090,I3113,I3116,I3098,I3097,I3110,I3122,I3010,I3028,I3020,I3086,I3054,I3055,I3092,I3095,I3119,I3101,I3103,I15061,I15062,I15063,I15061,I15014,I15015,I15065,I15059,I15060,I15054,I15057,I15002,I15111,I15088,I15089,I7030,I7031,I7032,I7033,I17999,I3140,I15109,I17997,I17998,
,L1,L1,L1,L1,L1,L1,L1,L1,L1,L1,L1,L1,L1,L1-1,L1-1,L1-1,L1-1,L1-1,1,1,1,ALL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ALL,1,1,1,1,
13.08.2020 00:00,48.56,2.00,0.00,0.74,1.07,50.00,0.00,2,1,0,1,0,1,48.62,-15.00,-0.02,0.65,46.00,0.00,0.00,0.00,0.00,0,0,20,11.27,11.87,48.56,0.00,1,0,0,0,48.62,-15.46,59.84,18.91,0.00,61440.00,0.00,,0,,
13.08.2020 00:01,48.75,2.00,0.00,0.53,0.53,50.00,0.00,2,1,0,1,0,1,48.62,-11.00,-0.02,0.49,46.00,0.00,0.00,0.00,0.00,0,0,20,11.27,11.87,48.66,0.00,1,0,0,0,48.72,-11.82,59.78,18.91,0.00,61440.00,0.00,,0,,
13.08.2020 00:02,48.75,2.00,0.00,0.53,0.53,50.00,0.00,2,1,0,1,0,1,48.75,-11.00,-0.02,0.49,46.00,0.00,0.00,0.00,0.00,0,0,20,11.27,11.87,48.66,0.00,1,0,0,0,48.75,-11.78,59.72,18.89,0.00,61440.00,0.00,,0,,
13.08.2020 00:03,48.75,2.00,0.00,0.53,0.53,50.00,0.00,2,1,0,1,0,1,48.75,-11.00,-0.02,0.49,46.00,0.00,0.00,0.00,0.00,0,0,20,11.27,11.87,48.66,0.00,1,0,0,0,48.75,-11.85,59.62,18.89,0.00,61440.00,0.00,,0,,
13.08.2020 00:04,48.22,2.00,0.00,0.67,2.54,50.00,0.00,2,1,0,1,0,1,48.62,-14.00,-0.02,0.59,46.00,0.00,0.00,0.00,0.00,0,0,20,11.27,11.87,48.62,0.00,1,0,0,0,48.69,-14.36,59.56,18.89,0.00,61440.00,0.00,,0,,
13.08.2020 00:05,47.88,2.00,0.00,1.34,2.49,50.00,0.00,2,1,0,1,0,1,48.47,-27.00,-0.02,1.21,46.00,0.00,0.00,0.00,0.00,0,0,20,11.27,11.87,48.34,0.00,1,0,0,0,48.41,-28.98,59.50,18.89,0.00,61440.00,0.00,,0,,
13.08.2020 00:06,47.88,2.00,0.00,2.43,2.49,50.00,0.00,2,1,0,1,0,1,47.78,-54.00,-0.02,2.35,48.00,0.00,0.00,0.00,0.00,0,0,20,11.27,11.87,47.84,0.00,1,0,0,0,47.94,-54.56,59.34,18.88,0.00,61440.00,0.00,,0,,
13.08.2020 00:07,47.88,2.00,0.00,2.43,2.43,50.00,0.00,2,1,0,1,0,1,47.88,-54.00,-0.02,2.34,50.00,0.00,0.00,0.00,0.00,0,0,20,11.27,11.87,47.84,0.00,1,0,0,0,47.94,-54.12,59.19,18.88,0.00,61440.00,0.00,,0,,
13.08.2020 00:08,47.88,2.00,0.00,2.06,2.43,50.00,0.00,2,1,0,1,0,1,47.94,-45.00,-0.02,1.95,51.00,0.00,0.00,0.00,0.00,0,0,20,11.27,11.87,47.97,0.00,1,0,0,0,48.06,-44.97,59.03,18.88,0.00,61440.00,0.00,,0,,
13.08.2020 00:09,48.56,2.00,0.00,0.89,0.89,50.00,0.00,2,1,0,1,0,1,48.56,-17.00,-0.02,0.73,51.00,0.00,0.00,0.00,0.00,0,0,20,11.27,11.87,48.50,0.00,1,0,0,0,48.56,-17.50,58.94,18.88,0.00,61440.00,0.00,,0,,
13.08.2020 00:10,48.06,2.00,0.00,1.02,2.83,50.00,0.00,2,1,0,1,0,1,48.47,-19.00,-0.02,0.81,51.00,0.00,0.00,0.00,0.00,0,0,20,11.27,11.87,48.47,0.00,1,0,0,0,48.53,-19.64,58.88,18.88,0.00,61440.00,0.00,,0,,
13.08.2020 00:11,48.56,2.00,0.00,1.07,1.07,50.00,0.00,2,1,0,1,0,1,48.47,-19.00,-0.02,0.82,51.00,0.00,0.00,0.00,0.00,0,0,20,11.27,11.87,48.44,0.00,1,0,0,0,48.50,-19.86,58.78,18.88,0.00,61440.00,0.00,,0,,
13.08.2020 00:12,48.47,2.00,0.00,1.07,1.07,50.00,0.00,2,1,0,1,0,1,48.56,-19.00,-0.02,0.82,50.00,0.00,0.00,0.00,0.00,0,0,20,11.27,11.87,48.44,0.00,1,0,0,0,48.50,-19.91,58.72,18.86,0.00,61440.00,0.00,,0,,
13.08.2020 00:13,48.47,2.00,0.00,1.07,1.07,50.00,0.00,2,1,0,1,0,1,48.47,-19.00,-0.02,0.82,50.00,0.00,0.00,0.00,0.00,0,0,20,11.27,11.87,48.44,0.00,1,0,0,0,48.50,-19.91,58.66,18.86,0.00,61440.00,0.00,,0,,
13.08.2020 00:14,48.47,2.00,0.00,1.07,1.07,50.00,0.00,2,1,0,1,0,1,48.56,-19.00,-0.02,0.82,50.00,0.00,0.00,0.00,0.00,0,0,20,11.27,11.87,48.44,0.00,1,0,0,0,48.50,-19.89,58.56,18.86,0.00,61440.00,0.00,,0,,
13.08.2020 00:15,48.12,2.00,0.00,1.14,2.71,50.00,0.00,2,1,0,1,0,1,48.38,-20.00,-0.02,0.87,50.00,0.00,0.00,0.00,0.00,0,0,20,11.27,11.87,48.41,0.00,1,0,0,0,48.47,-21.02,58.50,18.86,0.00,61440.00,0.00,,0,,
13.08.2020 00:16,48.47,2.00,0.00,1.13,1.13,50.00,0.00,2,1,0,1,0,1,48.47,-20.00,-0.02,0.86,50.00,0.00,0.00,0.00,0.00,0,0,20,11.27,11.87,48.41,0.00,1,0,0,0,48.47,-20.84,58.44,18.86,0.00,61440.00,0.00,,0,,
13.08.2020 00:17,48.47,2.00,0.00,1.12,1.13,50.00,0.00,2,1,0,1,0,1,48.38,-20.00,-0.02,0.86,50.00,0.00,0.00,0.00,0.00,0,0,20,11.27,11.87,48.38,0.00,1,0,0,0,48.47,-20.89,58.34,18.84,0.00,61440.00,0.00,,0,,
13.08.2020 00:18,48.47,2.00,0.00,1.13,1.13,50.00,0.00,2,1,0,1,0,1,48.47,-20.00,-0.02,0.86,50.00,0.00,0.00,0.00,0.00,0,0,20,11.27,11.87,48.38,0.00,1,0,0,0,48.47,-20.81,58.28,18.84,0.00,61440.00,0.00,,0,,
13.08.2020 00:19,48.47,2.00,0.00,1.12,1.13,50.00,0.00,2,1,0,1,0,1,48.38,-20.00,-0.02,0.85,50.00,0.00,0.00,0.00,0.00,0,0,20,11.27,11.87,48.38,0.00,1,0,0,0,48.47,-20.77,58.22,18.84,0.00,61440.00,0.00,,0,,
13.08.2020 00:20,48.47,2.00,0.00,1.12,1.13,50.00,0.00,2,1,0,1,0,1,48.38,-20.00,-0.02,0.85,50.00,0.00,0.00,0.00,0.00,0,0,20,11.27,11.87,48.38,0.00,1,0,0,0,48.44,-20.77,58.12,18.83,0.00,61440.00,0.00,,0,,
