v7.0,XT-Ubat- (MIN) [Vdc],XT-Uin [Vac],XT-Iin [Aac],XT-Pout [kVA],XT-Pout+ [kVA],XT-Fout [Hz],XT-Fin [Hz],XT-Phase [],XT-Mode [],XT-Transfert [],XT-RME [],XT-Aux 1 [],XT-Aux 2 [],XT-Ubat [Vdc],XT-Ibat [Adc],XT-Pin a [kW],XT-Pout a [kW],XT-Dev1+ (MAX) [?C],VS-Ppv [kW],,,,VS-Mod1 [],,VS-Dev1 [],VS-Upv [Vdc],,VS-Ubat [Vdc],VS-Ibat [Adc],VS-Phas [],VS-RME [],VS-Aux 1 [],VS-Aux 2 [],BSP-Ubat [Vdc],BSP-Ibat [Adc],BSP-SOC [%],BSP-Tbat [?C],Solar power (ALL) [kW],DEV XT-DBG1 [],DEV VS-locEr [],DEV SYS MSG,DEV SYS SCOM ERR,
,I3090,I3113,I3116,I3098,I3097,I3110,I3122,I3010,I3028,I3020,I3086,I3054,I3055,I3092,I3095,I3119,I3101,I3103,I15061,I15062,I15063,I15061,I15014,I15015,I15065,I15059,I15060,I15054,I15057,I15002,I15111,I15088,I15089,I7030,I7031,I7032,I7033,I17999,I3140,I15109,I17997,I17998,
,L1,L1,L1,L1,L1,L1,L1,L1,L1,L1,L1,L1,L1,L1-1,L1-1,L1-1,L1-1,L1-1,1,1,1,ALL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ALL,1,1,1,1,
15.09.2020 00:00,49.31,2.00,0.00,0.53,0.53,50.00,0.00,1,1,0,1,0,1,49.25,-9.00,-0.02,0.39,41.00,0.00,0.00,0.00,0.00,0,0,17,11.20,11.80,49.25,0.00,0,0,0,0,49.31,-9.96,68.81,16.30,0.00,61440.00,0.00,,0,,
15.09.2020 00:01,48.81,2.00,0.00,0.71,2.52,50.00,0.00,1,1,0,1,0,1,49.25,-11.00,-0.02,0.49,41.00,0.00,0.00,0.00,0.00,0,0,17,11.20,11.80,49.22,0.00,0,0,0,0,49.25,-12.27,68.75,16.30,0.00,61440.00,0.00,,0,,
15.09.2020 00:02,48.75,2.00,0.00,0.93,2.65,50.00,0.00,1,1,0,1,0,1,49.16,-14.00,-0.02,0.63,41.00,0.00,0.00,0.00,0.00,0,0,17,11.20,11.80,49.12,0.00,0,0,0,0,49.19,-15.62,68.75,16.28,0.00,61440.00,0.00,,0,,
15.09.2020 00:03,49.06,2.00,0.00,1.14,1.19,50.00,0.00,1,1,0,1,0,1,49.00,-18.00,-0.02,0.77,42.00,0.00,0.00,0.00,0.00,0,0,17,11.20,11.80,49.00,0.00,0,0,0,0,49.06,-19.02,68.69,16.28,0.00,61440.00,0.00,,0,,
15.09.2020 00:04,49.06,2.00,0.00,1.13,1.19,50.00,0.00,1,1,0,1,0,1,49.00,-18.00,-0.02,0.77,42.00,0.00,0.00,0.00,0.00,0,0,17,11.20,11.80,49.00,0.00,0,0,0,0,49.06,-18.95,68.62,16.28,0.00,61440.00,0.00,,0,,
15.09.2020 00:05,49.06,2.00,0.00,1.13,1.19,50.00,0.00,1,1,0,1,0,1,49.06,-18.00,-0.02,0.77,42.00,0.00,0.00,0.00,0.00,0,0,17,11.20,11.80,49.00,0.00,0,0,0,0,49.06,-18.86,68.56,16.28,0.00,61440.00,0.00,,0,,
15.09.2020 00:06,49.06,2.00,0.00,1.13,1.19,50.00,0.00,1,1,0,1,0,1,49.00,-18.00,-0.02,0.76,43.00,0.00,0.00,0.00,0.00,0,0,17,11.20,11.80,49.00,0.00,0,0,0,0,49.06,-18.81,68.50,16.28,0.00,61440.00,0.00,,0,,
15.09.2020 00:07,49.06,2.00,0.00,0.97,1.19,50.00,0.00,1,1,0,1,0,1,49.06,-15.00,-0.02,0.66,43.00,0.00,0.00,0.00,0.00,0,0,17,11.20,11.80,49.03,0.00,0,0,0,0,49.09,-16.06,68.44,16.27,0.00,61440.00,0.00,,0,,
15.09.2020 00:08,49.16,2.00,0.00,0.73,0.77,50.00,0.00,1,1,0,1,0,1,49.16,-11.00,-0.02,0.49,43.00,0.00,0.00,0.00,0.00,0,0,17,11.20,11.80,49.16,0.00,0,0,0,0,49.22,-12.41,68.44,16.27,0.00,61440.00,0.00,,0,,
15.09.2020 00:09,49.25,2.00,0.00,0.57,0.77,50.00,0.00,1,1,0,1,0,1,49.16,-10.00,-0.02,0.41,42.00,0.00,0.00,0.00,0.00,0,0,17,11.20,11.80,49.22,0.00,0,0,0,0,49.25,-10.37,68.38,16.27,0.00,61440.00,0.00,,0,,
15.09.2020 00:10,49.25,2.00,0.00,0.53,0.59,50.00,0.00,1,1,0,1,0,1,49.31,-9.00,-0.02,0.40,42.00,0.00,0.00,0.00,0.00,0,0,17,11.20,11.80,49.22,0.00,0,0,0,0,49.28,-9.99,68.31,16.27,0.00,61440.00,0.00,,0,,
15.09.2020 00:11,49.31,2.00,0.00,0.53,0.53,50.00,0.00,1,1,0,1,0,1,49.31,-9.00,-0.02,0.38,42.00,0.00,0.00,0.00,0.00,0,0,17,11.20,11.80,49.25,0.00,0,0,0,0,49.31,-9.61,68.31,16.27,0.00,61440.00,0.00,,0,,
15.09.2020 00:12,49.31,2.00,0.00,0.53,0.53,50.00,0.00,1,1,0,1,0,1,49.25,-9.00,-0.02,0.38,42.00,0.00,0.00,0.00,0.00,0,0,17,11.20,11.80,49.25,0.00,0,0,0,0,49.31,-9.58,68.31,16.27,0.00,61440.00,0.00,,0,,
15.09.2020 00:13,49.31,2.00,0.00,0.53,0.53,50.00,0.00,1,1,0,1,0,1,49.25,-9.00,-0.02,0.38,41.00,0.00,0.00,0.00,0.00,0,0,17,11.20,11.80,49.25,0.00,0,0,0,0,49.31,-9.59,68.25,16.27,0.00,61440.00,0.00,,0,,
15.09.2020 00:14,49.31,2.00,0.00,0.53,0.53,50.00,0.00,1,1,0,1,0,1,49.31,-9.00,-0.02,0.38,41.00,0.00,0.00,0.00,0.00,0,0,17,11.20,11.80,49.25,0.00,0,0,0,0,49.31,-9.60,68.25,16.25,0.00,61440.00,0.00,,0,,
15.09.2020 00:15,49.31,2.00,0.00,0.53,0.53,50.00,0.00,1,1,0,1,0,1,49.25,-9.00,-0.02,0.38,41.00,0.00,0.00,0.00,0.00,0,0,17,11.20,11.80,49.25,0.00,0,0,0,0,49.28,-9.59,68.19,16.25,0.00,61440.00,0.00,,0,,
15.09.2020 00:16,49.31,2.00,0.00,0.53,0.53,50.00,0.00,1,1,0,1,0,1,49.31,-9.00,-0.02,0.38,41.00,0.00,0.00,0.00,0.00,0,0,17,11.20,11.80,49.25,0.00,0,0,0,0,49.28,-9.58,68.19,16.25,0.00,61440.00,0.00,,0,,
15.09.2020 00:17,49.31,2.00,0.00,0.53,0.53,50.00,0.00,1,1,0,1,0,1,49.25,-9.00,-0.02,0.38,41.00,0.00,0.00,0.00,0.00,0,0,17,11.20,11.80,49.25,0.00,0,0,0,0,49.28,-9.58,68.12,16.25,0.00,61440.00,0.00,,0,,
15.09.2020 00:18,48.81,2.00,0.00,0.91,2.48,50.00,0.00,1,1,0,1,0,1,49.16,-14.00,-0.02,0.63,41.00,0.00,0.00,0.00,0.00,0,0,17,11.20,11.80,49.09,0.00,0,0,0,0,49.16,-15.55,68.12,16.25,0.00,61440.00,0.00,,0,,
15.09.2020 00:19,49.06,2.00,0.00,0.94,0.95,50.00,0.00,1,1,0,1,0,1,49.06,-15.00,-0.02,0.62,41.00,0.00,0.00,0.00,0.00,0,0,17,11.20,11.80,49.06,0.00,0,0,0,0,49.12,-15.45,68.06,16.23,0.00,61440.00,0.00,,0,,
15.09.2020 00:20,49.06,2.00,0.00,0.95,1.07,50.00,0.00,1,1,0,1,0,1,49.06,-15.00,-0.02,0.63,41.00,0.00,0.00,0.00,0.00,0,0,17,11.20,11.80,49.03,0.00,0,0,0,0,49.09,-15.73,68.00,16.23,0.00,61440.00,0.00,,0,,
15.09.2020 00:21,49.06,2.00,0.00,0.95,0.95,50.00,0.00,1,1,0,1,0,1,49.00,-15.00,-0.02,0.63,42.00,0.00,0.00,0.00,0.00,0,0,17,11.20,11.80,49.03,0.00,0,0,0,0,49.09,-15.55,67.94,16.23,0.00,61440.00,0.00,,0,,
15.09.2020 00:22,49.06,2.00,0.00,0.95,0.95,50.00,0.00,1,1,0,1,0,1,49.00,-15.00,-0.02,0.62,42.00,0.00,0.00,0.00,0.00,0,0,17,11.20,11.80,49.03,0.00,0,0,0,0,49.09,-15.45,67.94,16.22,0.00,61440.00,0.00,,0,,
15.09.2020 00:23,48.62,2.00,0.00,1.17,2.88,50.00,0.00,1,1,0,1,0,1,49.06,-18.00,-0.02,0.78,42.00,0.00,0.00,0.00,0.00,0,0,17,11.19,11.80,48.97,0.00,0,0,0,0,49.03,-19.19,67.88,16.22,0.00,61440.00,0.00,,0,,
15.09.2020 00:24,48.91,2.00,0.00,1.36,1.37,50.00,0.00,1,1,0,1,0,1,48.91,-20.00,-0.02,0.90,42.00,0.00,0.00,0.00,0.00,0,0,17,11.19,11.80,48.88,0.00,0,0,0,0,48.94,-22.06,67.81,16.22,0.00,61440.00,0.00,,0,,
15.09.2020 00:25,48.91,2.00,0.00,1.26,1.37,50.00,0.00,1,1,0,1,0,1,48.91,-19.00,-0.02,0.85,43.00,0.00,0.00,0.00,0.00,0,0,17,11.19,11.80,48.91,0.00,0,0,0,0,48.97,-20.78,67.75,16.22,0.00,61440.00,0.00,,0,,
