v7.0,XT-Ubat- (MIN) [Vdc],XT-Uin [Vac],XT-Iin [Aac],XT-Pout [kVA],XT-Pout+ [kVA],XT-Fout [Hz],XT-Fin [Hz],XT-Phase [],XT-Mode [],XT-Transfert [],XT-RME [],XT-Aux 1 [],XT-Aux 2 [],XT-Ubat [Vdc],XT-Ibat [Adc],XT-Pin a [kW],XT-Pout a [kW],XT-Dev1+ (MAX) [?C],VS-Ppv [kW],,,,VS-Mod1 [],,VS-Dev1 [],VS-Upv [Vdc],,VS-Ubat [Vdc],VS-Ibat [Adc],VS-Phas [],VS-RME [],VS-Aux 1 [],VS-Aux 2 [],BSP-Ubat [Vdc],BSP-Ibat [Adc],BSP-SOC [%],BSP-Tbat [?C],Solar power (ALL) [kW],DEV XT-DBG1 [],DEV VS-locEr [],DEV SYS MSG,DEV SYS SCOM ERR,
,I3090,I3113,I3116,I3098,I3097,I3110,I3122,I3010,I3028,I3020,I3086,I3054,I3055,I3092,I3095,I3119,I3101,I3103,I15061,I15062,I15063,I15061,I15014,I15015,I15065,I15059,I15060,I15054,I15057,I15002,I15111,I15088,I15089,I7030,I7031,I7032,I7033,I17999,I3140,I15109,I17997,I17998,
,L1,L1,L1,L1,L1,L1,L1,L1,L1,L1,L1,L1,L1,L1-1,L1-1,L1-1,L1-1,L1-1,1,1,1,ALL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ALL,1,1,1,1,
28.07.2020 00:00,49.75,2.00,0.00,0.30,0.30,50.00,0.00,2,1,0,1,0,1,49.69,-6.00,-0.02,0.25,42.00,0.00,0.00,0.00,0.00,0,0,20,11.26,11.86,49.69,0.00,1,0,0,0,49.75,-6.45,77.44,18.84,0.00,61440.00,0.00,,0,,
28.07.2020 00:01,49.75,2.00,0.00,0.30,0.30,50.00,0.00,2,1,0,1,0,1,49.75,-6.00,-0.02,0.24,42.00,0.00,0.00,0.00,0.00,0,0,20,11.26,11.86,49.69,0.00,1,0,0,0,49.75,-6.43,77.44,18.84,0.00,61440.00,0.00,,0,,
28.07.2020 00:02,49.75,2.00,0.00,0.30,0.30,50.00,0.00,2,1,0,1,0,1,49.69,-6.00,-0.02,0.24,42.00,0.00,0.00,0.00,0.00,0,0,20,11.26,11.86,49.69,0.00,1,0,0,0,49.75,-6.39,77.38,18.84,0.00,61440.00,0.00,,0,,
28.07.2020 00:03,49.75,2.00,0.00,0.30,0.30,50.00,0.00,2,1,0,1,0,1,49.75,-6.00,-0.02,0.24,42.00,0.00,0.00,0.00,0.00,0,0,20,11.27,11.86,49.69,0.00,1,0,0,0,49.75,-6.39,77.38,18.84,0.00,61440.00,0.00,,0,,
28.07.2020 00:04,49.25,2.00,0.00,0.46,2.28,50.00,0.00,2,1,0,1,0,1,49.59,-9.00,-0.02,0.38,42.00,0.00,0.00,0.00,0.00,0,0,20,11.26,11.86,49.59,0.00,1,0,0,0,49.66,-9.77,77.38,18.84,0.00,61440.00,0.00,,0,,
28.07.2020 00:05,49.50,2.00,0.00,0.65,0.71,50.00,0.00,2,1,0,1,0,1,49.50,-12.00,-0.02,0.53,42.00,0.00,0.00,0.00,0.00,0,0,20,11.26,11.86,49.47,0.00,1,0,0,0,49.53,-12.90,77.31,18.83,0.00,61440.00,0.00,,0,,
28.07.2020 00:06,49.50,2.00,0.00,0.65,0.65,50.00,0.00,2,1,0,1,0,1,49.44,-12.00,-0.02,0.53,42.00,0.00,0.00,0.00,0.00,0,0,20,11.26,11.86,49.47,0.00,1,0,0,0,49.53,-12.88,77.31,18.83,0.00,61440.00,0.00,,0,,
28.07.2020 00:07,49.50,2.00,0.00,0.65,0.65,50.00,0.00,2,1,0,1,0,1,49.50,-12.00,-0.02,0.52,42.00,0.00,0.00,0.00,0.00,0,0,20,11.26,11.86,49.44,0.00,1,0,0,0,49.53,-12.78,77.25,18.83,0.00,61440.00,0.00,,0,,
28.07.2020 00:08,49.50,2.00,0.00,0.58,0.65,50.00,0.00,2,1,0,1,0,1,49.44,-10.00,-0.02,0.47,42.00,0.00,0.00,0.00,0.00,0,0,20,11.26,11.86,49.47,0.00,1,0,0,0,49.53,-11.45,77.19,18.83,0.00,61440.00,0.00,,0,,
28.07.2020 00:09,49.69,2.00,0.00,0.30,0.30,50.00,0.00,2,1,0,1,0,1,49.59,-6.00,-0.02,0.24,42.00,0.00,0.00,0.00,0.00,0,0,19,11.26,11.86,49.62,0.00,1,0,0,0,49.69,-6.39,77.19,18.81,0.00,61440.00,0.00,,0,,
