v7.0,XT-Ubat- (MIN) [Vdc],XT-Uin [Vac],XT-Iin [Aac],XT-Pout [kVA],XT-Pout+ [kVA],XT-Fout [Hz],XT-Fin [Hz],XT-Phase [],XT-Mode [],XT-Transfert [],XT-RME [],XT-Aux 1 [],XT-Aux 2 [],XT-Ubat [Vdc],XT-Ibat [Adc],XT-Pin a [kW],XT-Pout a [kW],XT-Dev1+ (MAX) [?C],VS-Ppv [kW],,,,VS-Mod1 [],,VS-Dev1 [],VS-Upv [Vdc],,VS-Ubat [Vdc],VS-Ibat [Adc],VS-Phas [],VS-RME [],VS-Aux 1 [],VS-Aux 2 [],BSP-Ubat [Vdc],BSP-Ibat [Adc],BSP-SOC [%],BSP-Tbat [?C],Solar power (ALL) [kW],DEV XT-DBG1 [],DEV VS-locEr [],DEV SYS MSG,DEV SYS SCOM ERR,
,I3090,I3113,I3116,I3098,I3097,I3110,I3122,I3010,I3028,I3020,I3086,I3054,I3055,I3092,I3095,I3119,I3101,I3103,I15061,I15062,I15063,I15061,I15014,I15015,I15065,I15059,I15060,I15054,I15057,I15002,I15111,I15088,I15089,I7030,I7031,I7032,I7033,I17999,I3140,I15109,I17997,I17998,
,L1,L1,L1,L1,L1,L1,L1,L1,L1,L1,L1,L1,L1,L1-1,L1-1,L1-1,L1-1,L1-1,1,1,1,ALL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ALL,1,1,1,1,
04.09.2020 00:00,49.59,2.00,0.00,0.36,0.42,50.00,0.00,2,1,0,1,0,1,49.50,-8.00,-0.02,0.34,38.00,0.00,0.00,0.00,0.00,0,0,15,11.42,12.09,49.50,0.00,1,0,0,0,49.56,-8.50,75.31,14.95,0.00,61440.00,0.00,,0,,
04.09.2020 00:01,49.50,2.00,0.00,0.39,0.59,50.00,0.00,2,1,0,1,0,1,49.50,-8.00,-0.02,0.36,37.00,0.00,0.00,0.00,0.00,0,0,15,11.41,12.09,49.50,0.00,1,0,0,0,49.56,-8.88,75.31,14.95,0.00,61440.00,0.00,,0,,
04.09.2020 00:02,49.50,2.00,0.00,0.40,0.42,50.00,0.00,2,1,0,1,0,1,49.59,-8.00,-0.02,0.36,37.00,0.00,0.00,0.00,0.00,0,0,15,11.40,12.07,49.50,0.00,1,0,0,0,49.56,-8.89,75.25,14.95,0.00,61440.00,0.00,,0,,
04.09.2020 00:03,49.50,2.00,0.00,0.39,0.42,50.00,0.00,2,1,0,1,0,1,49.50,-8.00,-0.02,0.35,37.00,0.00,0.00,0.00,0.00,0,0,15,11.40,12.06,49.50,0.00,1,0,0,0,49.56,-8.78,75.25,14.95,0.00,61440.00,0.00,,0,,
04.09.2020 00:04,49.59,2.00,0.00,0.36,0.42,50.00,0.00,2,1,0,1,0,1,49.59,-8.00,-0.02,0.34,37.00,0.00,0.00,0.00,0.00,0,0,15,11.39,12.06,49.50,0.00,1,0,0,0,49.56,-8.48,75.25,14.94,0.00,61440.00,0.00,,0,,
04.09.2020 00:05,49.59,2.00,0.00,0.36,0.42,50.00,0.00,2,1,0,1,0,1,49.50,-8.00,-0.02,0.34,37.00,0.00,0.00,0.00,0.00,0,0,15,11.39,12.05,49.50,0.00,1,0,0,0,49.56,-8.46,75.19,14.94,0.00,61440.00,0.00,,0,,
04.09.2020 00:06,49.59,2.00,0.00,0.36,0.42,50.00,0.00,2,1,0,1,0,1,49.59,-8.00,-0.02,0.34,37.00,0.00,0.00,0.00,0.00,0,0,15,11.39,12.05,49.50,0.00,1,0,0,0,49.56,-8.44,75.19,14.94,0.00,61440.00,0.00,,0,,
04.09.2020 00:07,49.59,2.00,0.00,0.36,0.42,50.00,0.00,2,1,0,1,0,1,49.50,-8.00,-0.02,0.34,37.00,0.00,0.00,0.00,0.00,0,0,15,11.39,12.06,49.50,0.00,1,0,0,0,49.56,-8.45,75.12,14.92,0.00,61440.00,0.00,,0,,
04.09.2020 00:08,49.59,2.00,0.00,0.36,0.42,50.00,0.00,2,1,0,1,0,1,49.59,-8.00,-0.02,0.34,37.00,0.00,0.00,0.00,0.00,0,0,15,11.40,12.07,49.50,0.00,1,0,0,0,49.56,-8.48,75.12,14.92,0.00,61440.00,0.00,,0,,
04.09.2020 00:09,49.59,2.00,0.00,0.36,0.42,50.00,0.00,2,1,0,1,0,1,49.50,-8.00,-0.02,0.34,37.00,0.00,0.00,0.00,0.00,0,0,15,11.41,12.07,49.50,0.00,1,0,0,0,49.56,-8.44,75.12,14.92,0.00,61440.00,0.00,,0,,
04.09.2020 00:10,49.59,2.00,0.00,0.36,0.36,50.00,0.00,2,1,0,1,0,1,49.50,-8.00,-0.02,0.33,37.00,0.00,0.00,0.00,0.00,0,0,15,11.41,12.09,49.50,0.00,1,0,0,0,49.56,-8.41,75.06,14.92,0.00,61440.00,0.00,,0,,
04.09.2020 00:11,49.16,2.00,0.00,0.39,2.04,50.00,0.00,2,1,0,1,0,1,49.59,-9.00,-0.02,0.36,37.00,0.00,0.00,0.00,0.00,0,0,15,11.43,12.10,49.50,0.00,1,0,0,0,49.53,-9.11,75.06,14.91,0.00,61440.00,0.00,,0,,
04.09.2020 00:12,49.50,2.00,0.00,0.41,0.42,50.00,0.00,2,1,0,1,0,1,49.44,-8.00,-0.02,0.37,37.00,0.00,0.00,0.00,0.00,0,0,15,11.44,12.12,49.47,0.00,1,0,0,0,49.53,-9.28,75.00,14.91,0.00,61440.00,0.00,,0,,
04.09.2020 00:13,49.00,2.00,0.00,0.69,2.41,50.00,0.00,2,1,0,1,0,1,49.44,-14.00,-0.02,0.59,37.00,0.00,0.00,0.00,0.00,0,0,15,11.45,12.12,49.34,0.00,1,0,0,0,49.41,-14.42,75.00,14.91,0.00,61440.00,0.00,,0,,
04.09.2020 00:14,49.31,2.00,0.00,0.83,0.83,50.00,0.00,2,1,0,1,0,1,49.25,-16.00,-0.02,0.67,37.00,0.00,0.00,0.00,0.00,0,0,15,11.45,12.13,49.28,0.00,1,0,0,0,49.31,-16.12,74.94,14.90,0.00,61440.00,0.00,,0,,
04.09.2020 00:15,49.31,2.00,0.00,0.81,0.83,50.00,0.00,2,1,0,1,0,1,49.31,-16.00,-0.02,0.67,37.00,0.00,0.00,0.00,0.00,0,0,15,11.45,12.13,49.25,0.00,1,0,0,0,49.31,-15.98,74.88,14.89,0.00,61440.00,0.00,,0,,
04.09.2020 00:16,48.75,2.00,0.00,0.93,3.09,50.00,0.00,2,1,0,1,0,1,49.16,-17.00,-0.02,0.75,38.00,0.00,0.00,0.00,0.00,0,0,15,11.45,12.13,49.22,0.00,1,0,0,0,49.28,-18.06,74.81,14.89,0.00,61440.00,0.00,,0,,
04.09.2020 00:17,49.16,2.00,0.00,1.00,1.25,50.00,0.00,2,1,0,1,0,1,49.25,-18.00,-0.02,0.77,38.00,0.00,0.00,0.00,0.00,0,0,15,11.45,12.13,49.19,0.00,1,0,0,0,49.25,-18.39,74.75,14.89,0.00,61440.00,0.00,,0,,
04.09.2020 00:18,49.31,2.00,0.00,0.78,0.83,50.00,0.00,2,1,0,1,0,1,49.25,-15.00,-0.02,0.63,38.00,0.00,0.00,0.00,0.00,0,0,15,11.45,12.13,49.25,0.00,1,0,0,0,49.31,-15.34,74.75,14.88,0.00,61440.00,0.00,,0,,
04.09.2020 00:19,49.31,2.00,0.00,0.77,0.83,50.00,0.00,2,1,0,1,0,1,49.25,-15.00,-0.02,0.63,38.00,0.00,0.00,0.00,0.00,0,0,15,11.45,12.13,49.28,0.00,1,0,0,0,49.31,-15.20,74.69,14.88,0.00,61440.00,0.00,,0,,
04.09.2020 00:20,49.31,2.00,0.00,0.77,0.83,50.00,0.00,2,1,0,1,0,1,49.31,-15.00,-0.02,0.63,38.00,0.00,0.00,0.00,0.00,0,0,15,11.45,12.13,49.28,0.00,1,0,0,0,49.31,-15.11,74.62,14.88,0.00,61440.00,0.00,,0,,
04.09.2020 00:21,49.31,2.00,0.00,0.77,0.83,50.00,0.00,2,1,0,1,0,1,49.31,-15.00,-0.02,0.62,39.00,0.00,0.00,0.00,0.00,0,0,15,11.45,12.12,49.28,0.00,1,0,0,0,49.31,-15.09,74.56,14.88,0.00,61440.00,0.00,,0,,
04.09.2020 00:22,49.31,2.00,0.00,0.77,0.83,50.00,0.00,2,1,0,1,0,1,49.25,-14.00,-0.02,0.61,39.00,0.00,0.00,0.00,0.00,0,0,15,11.45,12.12,49.28,0.00,1,0,0,0,49.31,-14.83,74.56,14.88,0.00,61440.00,0.00,,0,,
04.09.2020 00:23,49.31,2.00,0.00,0.77,0.77,50.00,0.00,2,1,0,1,0,1,49.25,-13.00,-0.02,0.60,39.00,0.00,0.00,0.00,0.00,0,0,15,11.45,12.12,49.28,0.00,1,0,0,0,49.34,-14.59,74.50,14.86,0.00,61440.00,0.00,,0,,
04.09.2020 00:24,49.31,2.00,0.00,0.77,0.77,50.00,0.00,2,1,0,1,0,1,49.31,-14.00,-0.02,0.60,39.00,0.00,0.00,0.00,0.00,0,0,15,11.45,12.12,49.28,0.00,1,0,0,0,49.34,-14.59,74.44,14.86,0.00,61440.00,0.00,,0,,
