v7.0,XT-Ubat- (MIN) [Vdc],XT-Uin [Vac],XT-Iin [Aac],XT-Pout [kVA],XT-Pout+ [kVA],XT-Fout [Hz],XT-Fin [Hz],XT-Phase [],XT-Mode [],XT-Transfert [],XT-RME [],XT-Aux 1 [],XT-Aux 2 [],XT-Ubat [Vdc],XT-Ibat [Adc],XT-Pin a [kW],XT-Pout a [kW],XT-Dev1+ (MAX) [?C],VS-Ppv [kW],,,,VS-Mod1 [],,VS-Dev1 [],VS-Upv [Vdc],,VS-Ubat [Vdc],VS-Ibat [Adc],VS-Phas [],VS-RME [],VS-Aux 1 [],VS-Aux 2 [],BSP-Ubat [Vdc],BSP-Ibat [Adc],BSP-SOC [%],BSP-Tbat [?C],Solar power (ALL) [kW],DEV XT-DBG1 [],DEV VS-locEr [],DEV SYS MSG,DEV SYS SCOM ERR,
,I3090,I3113,I3116,I3098,I3097,I3110,I3122,I3010,I3028,I3020,I3086,I3054,I3055,I3092,I3095,I3119,I3101,I3103,I15061,I15062,I15063,I15061,I15014,I15015,I15065,I15059,I15060,I15054,I15057,I15002,I15111,I15088,I15089,I7030,I7031,I7032,I7033,I17999,I3140,I15109,I17997,I17998,
,L1,L1,L1,L1,L1,L1,L1,L1,L1,L1,L1,L1,L1,L1-1,L1-1,L1-1,L1-1,L1-1,1,1,1,ALL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ALL,1,1,1,1,
24.03.2020 00:00,49.31,3.00,0.00,0.53,0.53,50.00,0.00,1,1,0,1,0,1,49.25,-9.00,-0.02,0.38,25.00,0.00,0.00,0.00,0.00,0,0,6,10.94,11.55,49.28,0.00,0,0,0,0,49.28,-9.71,73.12,5.27,0.00,61440.00,0.00,,0,,
24.03.2020 00:01,49.31,3.00,0.00,0.53,0.53,50.00,0.00,1,1,0,1,0,1,49.31,-9.00,-0.02,0.38,25.00,0.00,0.00,0.00,0.00,0,0,6,10.94,11.55,49.28,0.00,0,0,0,0,49.28,-9.65,73.06,5.27,0.00,61440.00,0.00,,0,,
24.03.2020 00:02,49.31,3.00,0.00,0.33,0.53,50.00,0.00,1,1,0,1,0,1,49.31,-6.00,-0.02,0.25,25.00,0.00,0.00,0.00,0.00,0,0,6,10.94,11.55,49.38,0.00,0,0,0,0,49.38,-6.43,73.06,5.27,0.00,61440.00,0.00,,0,,
24.03.2020 00:03,49.50,3.00,0.00,0.24,0.24,50.00,0.00,1,1,0,1,0,1,49.44,-5.00,-0.02,0.18,25.00,0.00,0.00,0.00,0.00,0,0,6,10.94,11.56,49.47,0.00,0,0,0,0,49.47,-4.98,73.00,5.27,0.00,61440.00,0.00,,0,,
24.03.2020 00:04,49.50,3.00,0.00,0.24,0.24,50.00,0.00,1,1,0,1,0,1,49.50,-4.00,-0.02,0.18,25.00,0.00,0.00,0.00,0.00,0,0,6,10.94,11.56,49.50,0.00,0,0,0,0,49.47,-4.94,73.00,5.27,0.00,61440.00,0.00,,0,,
24.03.2020 00:05,49.50,3.00,0.00,0.21,0.24,50.00,0.00,1,1,0,1,0,1,49.50,-4.00,-0.02,0.17,25.00,0.00,0.00,0.00,0.00,0,0,6,10.94,11.55,49.50,0.00,0,0,0,0,49.50,-4.78,73.00,5.27,0.00,61440.00,0.00,,0,,
24.03.2020 00:06,49.50,3.00,0.00,0.18,0.24,50.00,0.00,1,1,0,1,0,1,49.50,-4.00,-0.02,0.16,25.00,0.00,0.00,0.00,0.00,0,0,6,10.94,11.55,49.53,0.00,0,0,0,0,49.50,-4.56,73.00,5.27,0.00,61440.00,0.00,,0,,
24.03.2020 00:07,49.50,3.00,0.00,0.18,0.24,50.00,0.00,1,1,0,1,0,1,49.50,-4.00,-0.02,0.15,25.00,0.00,0.00,0.00,0.00,0,0,6,10.94,11.55,49.53,0.00,0,0,0,0,49.53,-4.21,72.94,5.27,0.00,61440.00,0.00,,0,,
24.03.2020 00:08,49.59,3.00,0.00,0.18,0.18,50.00,0.00,1,1,0,1,0,1,49.59,-4.00,-0.02,0.14,24.00,0.00,0.00,0.00,0.00,0,0,6,10.94,11.55,49.53,0.00,0,0,0,0,49.53,-4.17,72.94,5.27,0.00,61440.00,0.00,,0,,
24.03.2020 00:09,49.06,3.00,0.00,0.44,2.16,50.00,0.00,1,1,0,1,0,1,49.31,-8.00,-0.02,0.35,24.00,0.00,0.00,0.00,0.00,0,0,6,10.94,11.55,49.41,0.00,0,0,0,0,49.38,-8.91,72.94,5.25,0.00,61440.00,0.00,,0,,
24.03.2020 00:10,49.31,3.00,0.00,0.53,0.53,50.00,0.00,1,1,0,1,0,1,49.31,-9.00,-0.02,0.41,25.00,0.00,0.00,0.00,0.00,0,0,6,10.94,11.55,49.28,0.00,0,0,0,0,49.28,-10.20,72.88,5.25,0.00,61440.00,0.00,,0,,
24.03.2020 00:11,49.31,3.00,0.00,0.52,0.53,50.00,0.00,1,1,0,1,0,1,49.25,-9.00,-0.02,0.40,25.00,0.00,0.00,0.00,0.00,0,0,6,10.94,11.55,49.28,0.00,0,0,0,0,49.28,-10.09,72.88,5.24,0.00,61440.00,0.00,,0,,
24.03.2020 00:12,49.31,3.00,0.00,0.50,0.53,50.00,0.00,1,1,0,1,0,1,49.25,-9.00,-0.02,0.40,25.00,0.00,0.00,0.00,0.00,0,0,6,10.94,11.55,49.28,0.00,0,0,0,0,49.28,-9.97,72.81,5.23,0.00,61440.00,0.00,,0,,
24.03.2020 00:13,49.25,3.00,0.00,0.49,0.53,50.00,0.00,1,1,0,1,0,1,49.31,-9.00,-0.02,0.40,25.00,0.00,0.00,0.00,0.00,0,0,6,10.94,11.55,49.25,0.00,0,0,0,0,49.25,-9.95,72.81,5.22,0.00,61440.00,0.00,,0,,
24.03.2020 00:14,49.25,3.00,0.00,0.46,0.53,50.00,0.00,1,1,0,1,0,1,49.31,-9.00,-0.02,0.37,25.00,0.00,0.00,0.00,0.00,0,0,6,10.94,11.55,49.28,0.00,0,0,0,0,49.28,-9.33,72.75,5.22,0.00,61440.00,0.00,,0,,
24.03.2020 00:15,49.44,3.00,0.00,0.18,0.18,50.00,0.00,1,1,0,1,0,1,49.44,-4.00,-0.02,0.14,25.00,0.00,0.00,0.00,0.00,0,0,6,10.94,11.55,49.47,0.00,0,0,0,0,49.44,-4.11,72.69,5.22,0.00,61440.00,0.00,,0,,
24.03.2020 00:16,49.50,3.00,0.00,0.18,0.18,50.00,0.00,1,1,0,1,0,1,49.44,-4.00,-0.02,0.14,25.00,0.00,0.00,0.00,0.00,0,0,6,10.94,11.55,49.50,0.00,0,0,0,0,49.50,-4.10,72.69,5.22,0.00,61440.00,0.00,,0,,
24.03.2020 00:17,49.50,3.00,0.00,0.18,0.18,50.00,0.00,1,1,0,1,0,1,49.59,-4.00,-0.02,0.14,25.00,0.00,0.00,0.00,0.00,0,0,6,10.94,11.55,49.53,0.00,0,0,0,0,49.50,-4.09,72.69,5.22,0.00,61440.00,0.00,,0,,
24.03.2020 00:18,49.59,3.00,0.00,0.18,0.18,50.00,0.00,1,1,0,1,0,1,49.50,-4.00,-0.02,0.14,24.00,0.00,0.00,0.00,0.00,0,0,6,10.94,11.55,49.53,0.00,0,0,0,0,49.53,-4.08,72.69,5.21,0.00,61440.00,0.00,,0,,
24.03.2020 00:19,49.50,3.00,0.00,0.18,0.42,50.00,0.00,1,1,0,1,0,1,49.50,-4.00,-0.02,0.15,24.00,0.00,0.00,0.00,0.00,0,0,6,10.94,11.55,49.53,0.00,0,0,0,0,49.50,-4.31,72.62,5.20,0.00,61440.00,0.00,,0,,
24.03.2020 00:20,49.50,3.00,0.00,0.18,0.18,50.00,0.00,1,1,0,1,0,1,49.59,-4.00,-0.02,0.15,24.00,0.00,0.00,0.00,0.00,0,0,6,10.94,11.55,49.53,0.00,0,0,0,0,49.50,-4.42,72.62,5.20,0.00,61440.00,0.00,,0,,
24.03.2020 00:21,49.50,3.00,0.00,0.18,0.18,50.00,0.00,1,1,0,1,0,1,49.59,-4.00,-0.02,0.15,24.00,0.00,0.00,0.00,0.00,0,0,6,10.94,11.55,49.53,0.00,0,0,0,0,49.50,-4.41,72.62,5.20,0.00,61440.00,0.00,,0,,
24.03.2020 00:22,49.50,3.00,0.00,0.19,0.42,50.00,0.00,1,1,0,1,0,1,49.44,-4.00,-0.02,0.16,24.00,0.00,0.00,0.00,0.00,0,0,6,10.94,11.55,49.50,0.00,0,0,0,0,49.50,-4.61,72.62,5.19,0.00,61440.00,0.00,,0,,
24.03.2020 00:23,49.50,3.00,0.00,0.21,0.24,50.00,0.00,1,1,0,1,0,1,49.50,-4.00,-0.02,0.17,24.00,0.00,0.00,0.00,0.00,0,0,6,10.94,11.55,49.50,0.00,0,0,0,0,49.50,-4.80,72.56,5.19,0.00,61440.00,0.00,,0,,
24.03.2020 00:24,49.50,3.00,0.00,0.19,0.24,50.00,0.00,1,1,0,1,0,1,49.44,-4.00,-0.02,0.17,24.00,0.00,0.00,0.00,0.00,0,0,6,10.94,11.55,49.50,0.00,0,0,0,0,49.50,-4.75,72.56,5.18,0.00,61440.00,0.00,,0,,
24.03.2020 00:25,49.00,3.00,0.00,0.39,2.46,50.00,0.00,1,1,0,1,0,1,49.31,-7.00,-0.02,0.31,24.00,0.00,0.00,0.00,0.00,0,0,6,10.93,11.55,49.41,0.00,0,0,0,0,49.38,-8.13,72.56,5.17,0.00,61440.00,0.00,,0,,
24.03.2020 00:26,49.31,3.00,0.00,0.53,0.53,50.00,0.00,1,1,0,1,0,1,49.31,-9.00,-0.02,0.40,24.00,0.00,0.00,0.00,0.00,0,0,6,10.94,11.55,49.28,0.00,0,0,0,0,49.28,-9.96,72.50,5.17,0.00,61440.00,0.00,,0,,
24.03.2020 00:27,49.25,3.00,0.00,0.53,0.53,50.00,0.00,1,1,0,1,0,1,49.25,-9.00,-0.02,0.39,24.00,0.00,0.00,0.00,0.00,0,0,6,10.93,11.55,49.28,0.00,0,0,0,0,49.25,-9.76,72.50,5.17,0.00,61440.00,0.00,,0,,
24.03.2020 00:28,49.25,3.00,0.00,0.53,0.53,50.00,0.00,1,1,0,1,0,1,49.25,-9.00,-0.02,0.38,24.00,0.00,0.00,0.00,0.00,0,0,6,10.93,11.55,49.25,0.00,0,0,0,0,49.25,-9.62,72.44,5.17,0.00,61440.00,0.00,,0,,
24.03.2020 00:29,49.25,3.00,0.00,0.53,0.53,50.00,0.00,1,1,0,1,0,1,49.31,-9.00,-0.02,0.37,24.00,0.00,0.00,0.00,0.00,0,0,6,10.93,11.55,49.25,0.00,0,0,0,0,49.25,-9.51,72.38,5.17,0.00,61440.00,0.00,,0,,
24.03.2020 00:30,49.25,3.00,0.00,0.53,0.53,50.00,0.00,1,1,0,1,0,1,49.31,-8.00,-0.02,0.37,25.00,0.00,0.00,0.00,0.00,0,0,6,10.93,11.55,49.25,0.00,0,0,0,0,49.25,-9.43,72.38,5.16,0.00,61440.00,0.00,,0,,
24.03.2020 00:31,49.25,3.00,0.00,0.53,0.53,50.00,0.00,1,1,0,1,0,1,49.25,-8.00,-0.02,0.37,25.00,0.00,0.00,0.00,0.00,0,0,6,10.93,11.55,49.25,0.00,0,0,0,0,49.25,-9.37,72.31,5.16,0.00,61440.00,0.00,,0,,
24.03.2020 00:32,49.25,3.00,0.00,0.30,0.53,50.00,0.00,1,1,0,1,0,1,49.31,-5.00,-0.02,0.23,25.00,0.00,0.00,0.00,0.00,0,0,6,10.93,11.55,49.34,0.00,0,0,0,0,49.34,-6.07,72.25,5.15,0.00,61440.00,0.00,,0,,
24.03.2020 00:33,49.50,3.00,0.00,0.18,0.18,50.00,0.00,1,1,0,1,0,1,49.50,-4.00,-0.02,0.15,25.00,0.00,0.00,0.00,0.00,0,0,6,10.94,11.55,49.47,0.00,0,0,0,0,49.44,-4.34,72.25,5.14,0.00,61440.00,0.00,,0,,
24.03.2020 00:34,49.50,3.00,0.00,0.18,0.18,50.00,0.00,1,1,0,1,0,1,49.44,-4.00,-0.02,0.15,24.00,0.00,0.00,0.00,0.00,0,0,5,10.94,11.55,49.47,0.00,0,0,0,0,49.47,-4.33,72.25,5.14,0.00,61440.00,0.00,,0,,
