v7.0,XT-Ubat- (MIN) [Vdc],XT-Uin [Vac],XT-Iin [Aac],XT-Pout [kVA],XT-Pout+ [kVA],XT-Fout [Hz],XT-Fin [Hz],XT-Phase [],XT-Mode [],XT-Transfert [],XT-RME [],XT-Aux 1 [],XT-Aux 2 [],XT-Ubat [Vdc],XT-Ibat [Adc],XT-Pin a [kW],XT-Pout a [kW],XT-Dev1+ (MAX) [?C],VS-Ppv [kW],,,,VS-Mod1 [],,VS-Dev1 [],VS-Upv [Vdc],,VS-Ubat [Vdc],VS-Ibat [Adc],VS-Phas [],VS-RME [],VS-Aux 1 [],VS-Aux 2 [],BSP-Ubat [Vdc],BSP-Ibat [Adc],BSP-SOC [%],BSP-Tbat [?C],Solar power (ALL) [kW],DEV XT-DBG1 [],DEV VS-locEr [],DEV SYS MSG,DEV SYS SCOM ERR,
,I3090,I3113,I3116,I3098,I3097,I3110,I3122,I3010,I3028,I3020,I3086,I3054,I3055,I3092,I3095,I3119,I3101,I3103,I15061,I15062,I15063,I15061,I15014,I15015,I15065,I15059,I15060,I15054,I15057,I15002,I15111,I15088,I15089,I7030,I7031,I7032,I7033,I17999,I3140,I15109,I17997,I17998,
,L1,L1,L1,L1,L1,L1,L1,L1,L1,L1,L1,L1,L1,L1-1,L1-1,L1-1,L1-1,L1-1,1,1,1,ALL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ALL,1,1,1,1,
17.08.2020 00:00,49.06,2.00,0.00,0.47,0.48,50.00,0.00,2,1,0,1,0,1,49.00,-9.00,-0.02,0.37,41.00,0.00,0.00,0.00,0.00,0,0,18,11.22,11.83,48.94,0.00,1,0,0,0,49.00,-9.42,65.38,17.56,0.00,61440.00,0.00,,0,,
17.08.2020 00:01,49.06,2.00,0.00,0.48,0.48,50.00,0.00,2,1,0,1,0,1,49.06,-9.00,-0.02,0.37,41.00,0.00,0.00,0.00,0.00,0,0,18,11.23,11.83,48.94,0.00,1,0,0,0,49.00,-9.44,65.31,17.55,0.00,61440.00,0.00,,0,,
17.08.2020 00:02,49.06,2.00,0.00,0.48,0.48,50.00,0.00,2,1,0,1,0,1,49.06,-9.00,-0.02,0.38,41.00,0.00,0.00,0.00,0.00,0,0,18,11.23,11.83,48.94,0.00,1,0,0,0,49.00,-9.44,65.25,17.55,0.00,61440.00,0.00,,0,,
17.08.2020 00:03,49.00,2.00,0.00,0.47,0.48,50.00,0.00,2,1,0,1,0,1,49.00,-9.00,-0.02,0.37,41.00,0.00,0.00,0.00,0.00,0,0,18,11.22,11.83,48.94,0.00,1,0,0,0,49.00,-9.45,65.19,17.55,0.00,61440.00,0.00,,0,,
17.08.2020 00:04,49.00,2.00,0.00,0.47,0.48,50.00,0.00,2,1,0,1,0,1,49.00,-9.00,-0.02,0.38,41.00,0.00,0.00,0.00,0.00,0,0,18,11.23,11.83,48.94,0.00,1,0,0,0,49.00,-9.45,65.12,17.55,0.00,61440.00,0.00,,0,,
17.08.2020 00:05,48.62,2.00,0.00,0.50,2.13,50.00,0.00,2,1,0,1,0,1,49.06,-9.00,-0.02,0.39,41.00,0.00,0.00,0.00,0.00,0,0,18,11.23,11.83,48.94,0.00,1,0,0,0,49.00,-9.75,65.06,17.55,0.00,61440.00,0.00,,0,,
17.08.2020 00:06,49.00,2.00,0.00,0.53,0.53,50.00,0.00,2,1,0,1,0,1,48.91,-9.00,-0.02,0.42,41.00,0.00,0.00,0.00,0.00,0,0,18,11.22,11.83,48.91,0.00,1,0,0,0,48.97,-10.35,65.00,17.53,0.00,61440.00,0.00,,0,,
17.08.2020 00:07,49.00,2.00,0.00,0.53,0.53,50.00,0.00,2,1,0,1,0,1,48.91,-9.00,-0.02,0.41,41.00,0.00,0.00,0.00,0.00,0,0,18,11.22,11.83,48.91,0.00,1,0,0,0,48.97,-10.30,64.94,17.53,0.00,61440.00,0.00,,0,,
17.08.2020 00:08,49.00,2.00,0.00,0.53,0.53,50.00,0.00,2,1,0,1,0,1,49.00,-9.00,-0.02,0.41,41.00,0.00,0.00,0.00,0.00,0,0,18,11.22,11.83,48.91,0.00,1,0,0,0,48.97,-10.31,64.88,17.53,0.00,61440.00,0.00,,0,,
17.08.2020 00:09,48.47,2.00,0.00,0.87,2.47,50.00,0.00,2,1,0,1,0,1,48.81,-14.00,-0.02,0.65,41.00,0.00,0.00,0.00,0.00,0,0,18,11.22,11.83,48.78,0.00,1,0,0,0,48.81,-15.89,64.81,17.53,0.00,61440.00,0.00,,0,,
17.08.2020 00:10,48.81,2.00,0.00,0.93,0.95,50.00,0.00,2,1,0,1,0,1,48.75,-16.00,-0.02,0.70,41.00,0.00,0.00,0.00,0.00,0,0,18,11.22,11.83,48.72,0.00,1,0,0,0,48.78,-16.97,64.75,17.53,0.00,61440.00,0.00,,0,,
17.08.2020 00:11,48.81,2.00,0.00,0.82,0.95,50.00,0.00,2,1,0,1,0,1,48.81,-15.00,-0.02,0.64,42.00,0.00,0.00,0.00,0.00,0,0,18,11.22,11.83,48.72,0.00,1,0,0,0,48.78,-15.63,64.69,17.53,0.00,61440.00,0.00,,0,,
17.08.2020 00:12,48.81,2.00,0.00,0.71,0.77,50.00,0.00,2,1,0,1,0,1,48.81,-13.00,-0.02,0.59,42.00,0.00,0.00,0.00,0.00,0,0,18,11.22,11.83,48.75,0.00,1,0,0,0,48.81,-14.30,64.62,17.52,0.00,61440.00,0.00,,0,,
17.08.2020 00:13,48.81,2.00,0.00,0.71,0.71,50.00,0.00,2,1,0,1,0,1,48.81,-13.00,-0.02,0.58,42.00,0.00,0.00,0.00,0.00,0,0,18,11.22,11.83,48.75,0.00,1,0,0,0,48.84,-14.22,64.56,17.52,0.00,61440.00,0.00,,0,,
17.08.2020 00:14,48.81,2.00,0.00,0.68,0.77,50.00,0.00,2,1,0,1,0,1,48.91,-13.00,-0.02,0.56,42.00,0.00,0.00,0.00,0.00,0,0,18,11.22,11.83,48.78,0.00,1,0,0,0,48.84,-13.48,64.50,17.52,0.00,61440.00,0.00,,0,,
17.08.2020 00:15,49.00,2.00,0.00,0.34,0.36,50.00,0.00,2,1,0,1,0,1,49.00,-7.00,-0.02,0.30,42.00,0.00,0.00,0.00,0.00,0,0,18,11.22,11.83,48.94,0.00,1,0,0,0,49.00,-7.58,64.44,17.52,0.00,61440.00,0.00,,0,,
