v7.0,XT-Ubat- (MIN) [Vdc],XT-Uin [Vac],XT-Iin [Aac],XT-Pout [kVA],XT-Pout+ [kVA],XT-Fout [Hz],XT-Fin [Hz],XT-Phase [],XT-Mode [],XT-Transfert [],XT-RME [],XT-Aux 1 [],XT-Aux 2 [],XT-Ubat [Vdc],XT-Ibat [Adc],XT-Pin a [kW],XT-Pout a [kW],XT-Dev1+ (MAX) [?C],VS-Ppv [kW],,,,VS-Mod1 [],,VS-Dev1 [],VS-Upv [Vdc],,VS-Ubat [Vdc],VS-Ibat [Adc],VS-Phas [],VS-RME [],VS-Aux 1 [],VS-Aux 2 [],BSP-Ubat [Vdc],BSP-Ibat [Adc],BSP-SOC [%],BSP-Tbat [?C],Solar power (ALL) [kW],DEV XT-DBG1 [],DEV VS-locEr [],DEV SYS MSG,DEV SYS SCOM ERR,
,I3090,I3113,I3116,I3098,I3097,I3110,I3122,I3010,I3028,I3020,I3086,I3054,I3055,I3092,I3095,I3119,I3101,I3103,I15061,I15062,I15063,I15061,I15014,I15015,I15065,I15059,I15060,I15054,I15057,I15002,I15111,I15088,I15089,I7030,I7031,I7032,I7033,I17999,I3140,I15109,I17997,I17998,
,L1,L1,L1,L1,L1,L1,L1,L1,L1,L1,L1,L1,L1,L1-1,L1-1,L1-1,L1-1,L1-1,1,1,1,ALL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ALL,1,1,1,1,
28.06.2020 00:00,49.84,2.00,0.00,0.65,0.65,50.00,0.00,4,1,0,1,0,1,49.84,-10.00,-0.02,0.45,37.00,0.00,0.00,0.00,0.00,0,0,16,11.19,11.80,49.84,0.00,3,0,0,0,49.88,-11.21,77.75,14.29,0.00,61440.00,0.00,,0,,
28.06.2020 00:01,49.31,2.00,0.00,0.88,2.64,50.00,0.00,4,1,0,1,0,1,49.69,-14.00,-0.02,0.60,37.00,0.00,0.00,0.00,0.00,0,0,16,11.19,11.80,49.72,0.00,3,0,0,0,49.75,-15.06,77.69,14.28,0.00,61440.00,0.00,,0,,
28.06.2020 00:02,49.59,2.00,0.00,1.07,1.13,50.00,0.00,4,1,0,1,0,1,49.69,-16.00,-0.02,0.73,38.00,0.00,0.00,0.00,0.00,0,0,16,11.19,11.80,49.59,0.00,3,0,0,0,49.66,-17.61,77.69,14.28,0.00,61440.00,0.00,,0,,
28.06.2020 00:03,49.59,2.00,0.00,1.07,1.13,50.00,0.00,4,1,0,1,0,1,49.50,-18.00,-0.02,0.78,39.00,0.00,0.00,0.00,0.00,0,0,16,11.19,11.80,49.56,0.00,3,0,0,0,49.59,-18.81,77.62,14.27,0.00,61440.00,0.00,,0,,
28.06.2020 00:04,49.59,2.00,0.00,1.03,1.07,50.00,0.00,4,1,0,1,0,1,49.59,-16.00,-0.02,0.71,39.00,0.00,0.00,0.00,0.00,0,0,16,11.19,11.80,49.56,0.00,3,0,0,0,49.62,-17.27,77.56,14.27,0.00,61440.00,0.00,,0,,
28.06.2020 00:05,49.59,2.00,0.00,0.84,1.07,50.00,0.00,4,1,0,1,0,1,49.59,-13.00,-0.02,0.56,39.00,0.00,0.00,0.00,0.00,0,0,16,11.19,11.80,49.66,0.00,3,0,0,0,49.69,-13.88,77.50,14.27,0.00,61440.00,0.00,,0,,
28.06.2020 00:06,49.75,2.00,0.00,0.62,0.65,50.00,0.00,4,1,0,1,0,1,49.84,-9.00,-0.02,0.41,39.00,0.00,0.00,0.00,0.00,0,0,16,11.19,11.80,49.75,0.00,3,0,0,0,49.81,-10.30,77.50,14.27,0.00,61440.00,0.00,,0,,
28.06.2020 00:07,49.84,2.00,0.00,0.59,0.65,50.00,0.00,4,1,0,1,0,1,49.75,-9.00,-0.02,0.39,39.00,0.00,0.00,0.00,0.00,0,0,16,11.19,11.80,49.78,0.00,3,0,0,0,49.81,-9.95,77.44,14.26,0.00,61440.00,0.00,,0,,
28.06.2020 00:08,49.84,2.00,0.00,0.59,0.59,50.00,0.00,4,1,0,1,0,1,49.75,-9.00,-0.02,0.39,39.00,0.00,0.00,0.00,0.00,0,0,16,11.19,11.80,49.78,0.00,3,0,0,0,49.84,-9.91,77.44,14.25,0.00,61440.00,0.00,,0,,
28.06.2020 00:09,49.84,2.00,0.00,0.50,0.59,50.00,0.00,4,1,0,1,0,1,49.84,-8.00,-0.02,0.35,39.00,0.00,0.00,0.00,0.00,0,0,16,11.19,11.80,49.81,0.00,3,0,0,0,49.88,-8.95,77.38,14.25,0.00,61440.00,0.00,,0,,
